,County,State,County FIPS Code,Opioid Dispensing Rate per 100,year
0,"Aleutians East, AK",AK,2013,–,2014
1,"Aleutians West, AK",AK,2016,–,2014
2,"Anchorage, AK",AK,2020,68.0,2014
3,"Bethel, AK",AK,2050,–,2014
4,"Bristol Bay, AK",AK,2060,–,2014
5,"Denali, AK",AK,2068,–,2014
6,"Dillingham, AK",AK,2070,–,2014
7,"Fairbanks North Star, AK",AK,2090,54.3,2014
8,"Haines, AK",AK,2100,–,2014
9,"Hoonah-Angoon, AK",AK,2105,–,2014
10,"Juneau, AK",AK,2110,87.6,2014
11,"Kenai Peninsula, AK",AK,2122,100.0,2014
12,"Ketchikan Gateway, AK",AK,2130,100.6,2014
13,"Kodiak Island, AK",AK,2150,38.6,2014
14,"Lake and Peninsula, AK",AK,2164,–,2014
15,"Matanuska-Susitna, AK",AK,2170,86.2,2014
16,"Nome, AK",AK,2180,–,2014
17,"North Slope, AK",AK,2185,–,2014
18,"Northwest Arctic, AK",AK,2188,–,2014
19,"Petersburg, AK",AK,2195,92.2,2014
20,"Prince of Wales-Hyder, AK",AK,2198,59.0,2014
21,"Sitka, AK",AK,2220,14.1,2014
22,"Skagway, AK",AK,2230,–,2014
23,"Southeast Fairbanks, AK",AK,2240,–,2014
24,"Valdez-Cordova, AK",AK,2261,56.7,2014
25,"Wade Hampton, AK",AK,2270,–,2014
26,"Wrangell, AK",AK,2275,0.4,2014
27,"Yakutat, AK",AK,2282,–,2014
28,"Yukon-Koyukuk, AK",AK,2290,–,2014
29,"Autauga, AL",AL,1001,145.3,2014
30,"Baldwin, AL",AL,1003,143.5,2014
31,"Barbour, AL",AL,1005,102.0,2014
32,"Bibb, AL",AL,1007,75.8,2014
33,"Blount, AL",AL,1009,63.2,2014
34,"Bullock, AL",AL,1011,34.3,2014
35,"Butler, AL",AL,1013,145.0,2014
36,"Calhoun, AL",AL,1015,180.0,2014
37,"Chambers, AL",AL,1017,163.1,2014
38,"Cherokee, AL",AL,1019,175.1,2014
39,"Chilton, AL",AL,1021,132.1,2014
40,"Choctaw, AL",AL,1023,141.2,2014
41,"Clarke, AL",AL,1025,184.3,2014
42,"Clay, AL",AL,1027,150.6,2014
43,"Cleburne, AL",AL,1029,48.2,2014
44,"Coffee, AL",AL,1031,143.2,2014
45,"Colbert, AL",AL,1033,234.3,2014
46,"Conecuh, AL",AL,1035,154.4,2014
47,"Coosa, AL",AL,1037,35.7,2014
48,"Covington, AL",AL,1039,216.2,2014
49,"Crenshaw, AL",AL,1041,101.5,2014
50,"Cullman, AL",AL,1043,182.6,2014
51,"Dale, AL",AL,1045,71.5,2014
52,"Dallas, AL",AL,1047,123.3,2014
53,"DeKalb, AL",AL,1049,122.7,2014
54,"Elmore, AL",AL,1051,122.7,2014
55,"Escambia, AL",AL,1053,166.8,2014
56,"Etowah, AL",AL,1055,191.4,2014
57,"Fayette, AL",AL,1057,162.5,2014
58,"Franklin, AL",AL,1059,225.5,2014
59,"Geneva, AL",AL,1061,50.4,2014
60,"Greene, AL",AL,1063,98.6,2014
61,"Hale, AL",AL,1065,100.2,2014
62,"Henry, AL",AL,1067,37.3,2014
63,"Houston, AL",AL,1069,161.1,2014
64,"Jackson, AL",AL,1071,135.6,2014
65,"Jefferson, AL",AL,1073,130.2,2014
66,"Lamar, AL",AL,1075,105.8,2014
67,"Lauderdale, AL",AL,1077,151.0,2014
68,"Lawrence, AL",AL,1079,140.5,2014
69,"Lee, AL",AL,1081,70.0,2014
70,"Limestone, AL",AL,1083,79.1,2014
71,"Lowndes, AL",AL,1085,1.9,2014
72,"Macon, AL",AL,1087,67.2,2014
73,"Madison, AL",AL,1089,122.0,2014
74,"Marengo, AL",AL,1091,140.9,2014
75,"Marion, AL",AL,1093,207.3,2014
76,"Marshall, AL",AL,1095,221.2,2014
77,"Mobile, AL",AL,1097,158.5,2014
78,"Monroe, AL",AL,1099,143.8,2014
79,"Montgomery, AL",AL,1101,101.7,2014
80,"Morgan, AL",AL,1103,142.7,2014
81,"Perry, AL",AL,1105,5.2,2014
82,"Pickens, AL",AL,1107,124.7,2014
83,"Pike, AL",AL,1109,112.7,2014
84,"Randolph, AL",AL,1111,126.3,2014
85,"Russell, AL",AL,1113,128.9,2014
86,"St. Clair, AL",AL,1115,112.9,2014
87,"Shelby, AL",AL,1117,110.5,2014
88,"Sumter, AL",AL,1119,45.7,2014
89,"Talladega, AL",AL,1121,154.4,2014
90,"Tallapoosa, AL",AL,1123,109.8,2014
91,"Tuscaloosa, AL",AL,1125,116.7,2014
92,"Walker, AL",AL,1127,291.1,2014
93,"Washington, AL",AL,1129,36.8,2014
94,"Wilcox, AL",AL,1131,62.1,2014
95,"Winston, AL",AL,1133,179.6,2014
96,"Arkansas, AR",AR,5001,92.8,2014
97,"Ashley, AR",AR,5003,126.5,2014
98,"Baxter, AR",AR,5005,148.0,2014
99,"Benton, AR",AR,5007,95.1,2014
100,"Boone, AR",AR,5009,168.8,2014
101,"Bradley, AR",AR,5011,149.6,2014
102,"Calhoun, AR",AR,5013,84.4,2014
103,"Carroll, AR",AR,5015,78.2,2014
104,"Chicot, AR",AR,5017,88.9,2014
105,"Clark, AR",AR,5019,116.9,2014
106,"Clay, AR",AR,5021,140.3,2014
107,"Cleburne, AR",AR,5023,118.7,2014
108,"Cleveland, AR",AR,5025,0.4,2014
109,"Columbia, AR",AR,5027,133.0,2014
110,"Conway, AR",AR,5029,130.5,2014
111,"Craighead, AR",AR,5031,166.0,2014
112,"Crawford, AR",AR,5033,169.4,2014
113,"Crittenden, AR",AR,5035,107.0,2014
114,"Cross, AR",AR,5037,138.5,2014
115,"Dallas, AR",AR,5039,112.6,2014
116,"Desha, AR",AR,5041,166.6,2014
117,"Drew, AR",AR,5043,117.8,2014
118,"Faulkner, AR",AR,5045,100.7,2014
119,"Franklin, AR",AR,5047,28.0,2014
120,"Fulton, AR",AR,5049,104.2,2014
121,"Garland, AR",AR,5051,194.9,2014
122,"Grant, AR",AR,5053,88.4,2014
123,"Greene, AR",AR,5055,185.6,2014
124,"Hempstead, AR",AR,5057,131.5,2014
125,"Hot Spring, AR",AR,5059,114.1,2014
126,"Howard, AR",AR,5061,180.7,2014
127,"Independence, AR",AR,5063,178.7,2014
128,"Izard, AR",AR,5065,93.9,2014
129,"Jackson, AR",AR,5067,160.1,2014
130,"Jefferson, AR",AR,5069,114.9,2014
131,"Johnson, AR",AR,5071,147.7,2014
132,"Lafayette, AR",AR,5073,4.2,2014
133,"Lawrence, AR",AR,5075,48.2,2014
134,"Lee, AR",AR,5077,55.3,2014
135,"Lincoln, AR",AR,5079,81.1,2014
136,"Little River, AR",AR,5081,164.3,2014
137,"Logan, AR",AR,5083,40.6,2014
138,"Lonoke, AR",AR,5085,111.4,2014
139,"Madison, AR",AR,5087,83.5,2014
140,"Marion, AR",AR,5089,95.6,2014
141,"Miller, AR",AR,5091,138.1,2014
142,"Mississippi, AR",AR,5093,144.8,2014
143,"Monroe, AR",AR,5095,109.2,2014
144,"Montgomery, AR",AR,5097,108.1,2014
145,"Nevada, AR",AR,5099,–,2014
146,"Newton, AR",AR,5101,2.8,2014
147,"Ouachita, AR",AR,5103,139.8,2014
148,"Perry, AR",AR,5105,94.9,2014
149,"Phillips, AR",AR,5107,173.6,2014
150,"Pike, AR",AR,5109,10.6,2014
151,"Poinsett, AR",AR,5111,105.5,2014
152,"Polk, AR",AR,5113,133.2,2014
153,"Pope, AR",AR,5115,138.2,2014
154,"Prairie, AR",AR,5117,91.3,2014
155,"Pulaski, AR",AR,5119,117.5,2014
156,"Randolph, AR",AR,5121,116.2,2014
157,"St. Francis, AR",AR,5123,96.4,2014
158,"Saline, AR",AR,5125,106.9,2014
159,"Scott, AR",AR,5127,154.2,2014
160,"Searcy, AR",AR,5129,99.7,2014
161,"Sebastian, AR",AR,5131,186.1,2014
162,"Sevier, AR",AR,5133,82.9,2014
163,"Sharp, AR",AR,5135,136.4,2014
164,"Stone, AR",AR,5137,169.7,2014
165,"Union, AR",AR,5139,141.9,2014
166,"Van Buren, AR",AR,5141,114.4,2014
167,"Washington, AR",AR,5143,104.4,2014
168,"White, AR",AR,5145,138.1,2014
169,"Woodruff, AR",AR,5147,32.0,2014
170,"Yell, AR",AR,5149,72.3,2014
171,"Apache, AZ",AZ,4001,21.5,2014
172,"Cochise, AZ",AZ,4003,82.7,2014
173,"Coconino, AZ",AZ,4005,60.4,2014
174,"Gila, AZ",AZ,4007,124.3,2014
175,"Graham, AZ",AZ,4009,106.0,2014
176,"Greenlee, AZ",AZ,4011,1.3,2014
177,"La Paz, AZ",AZ,4012,89.7,2014
178,"Maricopa, AZ",AZ,4013,77.9,2014
179,"Mohave, AZ",AZ,4015,142.2,2014
180,"Navajo, AZ",AZ,4017,74.7,2014
181,"Pima, AZ",AZ,4019,84.2,2014
182,"Pinal, AZ",AZ,4021,65.6,2014
183,"Santa Cruz, AZ",AZ,4023,27.4,2014
184,"Yavapai, AZ",AZ,4025,110.6,2014
185,"Yuma, AZ",AZ,4027,57.6,2014
186,"Alameda, CA",CA,6001,38.0,2014
187,"Alpine, CA",CA,6003,–,2014
188,"Amador, CA",CA,6005,136.6,2014
189,"Butte, CA",CA,6007,143.9,2014
190,"Calaveras, CA",CA,6009,98.6,2014
191,"Colusa, CA",CA,6011,44.9,2014
192,"Contra Costa, CA",CA,6013,51.8,2014
193,"Del Norte, CA",CA,6015,168.6,2014
194,"El Dorado, CA",CA,6017,75.6,2014
195,"Fresno, CA",CA,6019,66.1,2014
196,"Glenn, CA",CA,6021,68.9,2014
197,"Humboldt, CA",CA,6023,113.6,2014
198,"Imperial, CA",CA,6025,59.5,2014
199,"Inyo, CA",CA,6027,63.6,2014
200,"Kern, CA",CA,6029,64.4,2014
201,"Kings, CA",CA,6031,78.5,2014
202,"Lake, CA",CA,6033,167.6,2014
203,"Lassen, CA",CA,6035,104.2,2014
204,"Los Angeles, CA",CA,6037,39.8,2014
