,County,State,County FIPS Code,Opioid Dispensing Rate per 100,year
0,"Aleutians East, AK",AK,2013,–,2009
1,"Aleutians West, AK",AK,2016,–,2009
2,"Anchorage, AK",AK,2020,74.6,2009
3,"Bethel, AK",AK,2050,–,2009
4,"Bristol Bay, AK",AK,2060,–,2009
5,"Denali, AK",AK,2068,–,2009
6,"Dillingham, AK",AK,2070,–,2009
7,"Fairbanks North Star, AK",AK,2090,57.1,2009
8,"Haines, AK",AK,2100,–,2009
9,"Hoonah-Angoon, AK",AK,2105,–,2009
10,"Juneau, AK",AK,2110,99.4,2009
11,"Kenai Peninsula, AK",AK,2122,103.1,2009
12,"Ketchikan Gateway, AK",AK,2130,136.0,2009
13,"Kodiak Island, AK",AK,2150,79.9,2009
14,"Lake and Peninsula, AK",AK,2164,–,2009
15,"Matanuska-Susitna, AK",AK,2170,85.9,2009
16,"Nome, AK",AK,2180,–,2009
17,"North Slope, AK",AK,2185,–,2009
18,"Northwest Arctic, AK",AK,2188,–,2009
19,"Petersburg, AK",AK,2195,116.7,2009
20,"Prince of Wales-Hyder, AK",AK,2198,–,2009
21,"Sitka, AK",AK,2220,–,2009
22,"Skagway, AK",AK,2230,–,2009
23,"Southeast Fairbanks, AK",AK,2240,–,2009
24,"Valdez-Cordova, AK",AK,2261,61.8,2009
25,"Wade Hampton, AK",AK,2270,–,2009
26,"Wrangell, AK",AK,2275,12.0,2009
27,"Yakutat, AK",AK,2282,–,2009
28,"Yukon-Koyukuk, AK",AK,2290,–,2009
29,"Autauga, AL",AL,1001,147.5,2009
30,"Baldwin, AL",AL,1003,143.9,2009
31,"Barbour, AL",AL,1005,88.5,2009
32,"Bibb, AL",AL,1007,109.6,2009
33,"Blount, AL",AL,1009,56.2,2009
34,"Bullock, AL",AL,1011,46.3,2009
35,"Butler, AL",AL,1013,121.2,2009
36,"Calhoun, AL",AL,1015,175.9,2009
37,"Chambers, AL",AL,1017,144.9,2009
38,"Cherokee, AL",AL,1019,162.5,2009
39,"Chilton, AL",AL,1021,116.9,2009
40,"Choctaw, AL",AL,1023,95.7,2009
41,"Clarke, AL",AL,1025,155.7,2009
42,"Clay, AL",AL,1027,137.4,2009
43,"Cleburne, AL",AL,1029,29.4,2009
44,"Coffee, AL",AL,1031,127.0,2009
45,"Colbert, AL",AL,1033,213.5,2009
46,"Conecuh, AL",AL,1035,199.5,2009
47,"Coosa, AL",AL,1037,48.0,2009
48,"Covington, AL",AL,1039,187.6,2009
49,"Crenshaw, AL",AL,1041,108.7,2009
50,"Cullman, AL",AL,1043,174.7,2009
51,"Dale, AL",AL,1045,71.2,2009
52,"Dallas, AL",AL,1047,112.8,2009
53,"DeKalb, AL",AL,1049,57.8,2009
54,"Elmore, AL",AL,1051,108.4,2009
55,"Escambia, AL",AL,1053,139.4,2009
56,"Etowah, AL",AL,1055,159.6,2009
57,"Fayette, AL",AL,1057,43.7,2009
58,"Franklin, AL",AL,1059,174.1,2009
59,"Geneva, AL",AL,1061,26.5,2009
60,"Greene, AL",AL,1063,60.1,2009
61,"Hale, AL",AL,1065,76.4,2009
62,"Henry, AL",AL,1067,42.9,2009
63,"Houston, AL",AL,1069,185.5,2009
64,"Jackson, AL",AL,1071,130.0,2009
65,"Jefferson, AL",AL,1073,134.3,2009
66,"Lamar, AL",AL,1075,62.5,2009
67,"Lauderdale, AL",AL,1077,145.3,2009
68,"Lawrence, AL",AL,1079,67.0,2009
69,"Lee, AL",AL,1081,73.8,2009
70,"Limestone, AL",AL,1083,74.6,2009
71,"Lowndes, AL",AL,1085,16.6,2009
72,"Macon, AL",AL,1087,57.1,2009
73,"Madison, AL",AL,1089,129.0,2009
74,"Marengo, AL",AL,1091,129.8,2009
75,"Marion, AL",AL,1093,273.3,2009
76,"Marshall, AL",AL,1095,209.4,2009
77,"Mobile, AL",AL,1097,150.3,2009
78,"Monroe, AL",AL,1099,106.1,2009
79,"Montgomery, AL",AL,1101,106.3,2009
80,"Morgan, AL",AL,1103,160.1,2009
81,"Perry, AL",AL,1105,–,2009
82,"Pickens, AL",AL,1107,114.3,2009
83,"Pike, AL",AL,1109,119.8,2009
84,"Randolph, AL",AL,1111,58.3,2009
85,"Russell, AL",AL,1113,157.0,2009
86,"St. Clair, AL",AL,1115,102.0,2009
87,"Shelby, AL",AL,1117,122.5,2009
88,"Sumter, AL",AL,1119,45.9,2009
89,"Talladega, AL",AL,1121,140.5,2009
90,"Tallapoosa, AL",AL,1123,95.3,2009
91,"Tuscaloosa, AL",AL,1125,115.6,2009
92,"Walker, AL",AL,1127,329.8,2009
93,"Washington, AL",AL,1129,40.2,2009
94,"Wilcox, AL",AL,1131,54.4,2009
95,"Winston, AL",AL,1133,128.4,2009
96,"Arkansas, AR",AR,5001,84.0,2009
97,"Ashley, AR",AR,5003,49.6,2009
98,"Baxter, AR",AR,5005,170.6,2009
99,"Benton, AR",AR,5007,96.5,2009
100,"Boone, AR",AR,5009,155.7,2009
101,"Bradley, AR",AR,5011,152.0,2009
102,"Calhoun, AR",AR,5013,110.2,2009
103,"Carroll, AR",AR,5015,65.1,2009
104,"Chicot, AR",AR,5017,–,2009
105,"Clark, AR",AR,5019,86.4,2009
106,"Clay, AR",AR,5021,57.8,2009
107,"Cleburne, AR",AR,5023,127.6,2009
108,"Cleveland, AR",AR,5025,–,2009
109,"Columbia, AR",AR,5027,121.4,2009
110,"Conway, AR",AR,5029,75.3,2009
111,"Craighead, AR",AR,5031,177.7,2009
112,"Crawford, AR",AR,5033,126.6,2009
113,"Crittenden, AR",AR,5035,97.1,2009
114,"Cross, AR",AR,5037,101.9,2009
115,"Dallas, AR",AR,5039,93.4,2009
116,"Desha, AR",AR,5041,130.7,2009
117,"Drew, AR",AR,5043,123.8,2009
118,"Faulkner, AR",AR,5045,107.5,2009
119,"Franklin, AR",AR,5047,57.3,2009
120,"Fulton, AR",AR,5049,65.0,2009
121,"Garland, AR",AR,5051,202.2,2009
122,"Grant, AR",AR,5053,31.9,2009
123,"Greene, AR",AR,5055,180.1,2009
124,"Hempstead, AR",AR,5057,128.5,2009
125,"Hot Spring, AR",AR,5059,122.5,2009
126,"Howard, AR",AR,5061,166.0,2009
127,"Independence, AR",AR,5063,192.9,2009
128,"Izard, AR",AR,5065,151.7,2009
129,"Jackson, AR",AR,5067,184.5,2009
130,"Jefferson, AR",AR,5069,88.9,2009
131,"Johnson, AR",AR,5071,32.9,2009
132,"Lafayette, AR",AR,5073,–,2009
133,"Lawrence, AR",AR,5075,37.5,2009
134,"Lee, AR",AR,5077,–,2009
135,"Lincoln, AR",AR,5079,35.3,2009
136,"Little River, AR",AR,5081,49.0,2009
137,"Logan, AR",AR,5083,53.1,2009
138,"Lonoke, AR",AR,5085,107.3,2009
139,"Madison, AR",AR,5087,28.9,2009
140,"Marion, AR",AR,5089,54.0,2009
141,"Miller, AR",AR,5091,79.5,2009
142,"Mississippi, AR",AR,5093,131.6,2009
143,"Monroe, AR",AR,5095,26.1,2009
144,"Montgomery, AR",AR,5097,90.1,2009
145,"Nevada, AR",AR,5099,–,2009
146,"Newton, AR",AR,5101,31.7,2009
147,"Ouachita, AR",AR,5103,111.0,2009
148,"Perry, AR",AR,5105,91.4,2009
149,"Phillips, AR",AR,5107,176.2,2009
150,"Pike, AR",AR,5109,–,2009
151,"Poinsett, AR",AR,5111,43.4,2009
152,"Polk, AR",AR,5113,115.2,2009
153,"Pope, AR",AR,5115,154.3,2009
154,"Prairie, AR",AR,5117,118.6,2009
155,"Pulaski, AR",AR,5119,119.7,2009
156,"Randolph, AR",AR,5121,87.5,2009
157,"St. Francis, AR",AR,5123,98.5,2009
158,"Saline, AR",AR,5125,111.5,2009
159,"Scott, AR",AR,5127,185.0,2009
160,"Searcy, AR",AR,5129,99.6,2009
161,"Sebastian, AR",AR,5131,203.3,2009
162,"Sevier, AR",AR,5133,34.8,2009
163,"Sharp, AR",AR,5135,112.7,2009
164,"Stone, AR",AR,5137,59.3,2009
165,"Union, AR",AR,5139,147.4,2009
166,"Van Buren, AR",AR,5141,70.6,2009
167,"Washington, AR",AR,5143,111.4,2009
168,"White, AR",AR,5145,132.9,2009
169,"Woodruff, AR",AR,5147,17.0,2009
170,"Yell, AR",AR,5149,30.1,2009
171,"Apache, AZ",AZ,4001,18.2,2009
172,"Cochise, AZ",AZ,4003,83.3,2009
173,"Coconino, AZ",AZ,4005,56.7,2009
174,"Gila, AZ",AZ,4007,127.4,2009
175,"Graham, AZ",AZ,4009,123.5,2009
176,"Greenlee, AZ",AZ,4011,–,2009
177,"La Paz, AZ",AZ,4012,73.3,2009
178,"Maricopa, AZ",AZ,4013,82.5,2009
179,"Mohave, AZ",AZ,4015,139.3,2009
180,"Navajo, AZ",AZ,4017,79.4,2009
181,"Pima, AZ",AZ,4019,93.0,2009
182,"Pinal, AZ",AZ,4021,65.1,2009
183,"Santa Cruz, AZ",AZ,4023,36.9,2009
184,"Yavapai, AZ",AZ,4025,104.3,2009
185,"Yuma, AZ",AZ,4027,71.9,2009
186,"Alameda, CA",CA,6001,43.9,2009
187,"Alpine, CA",CA,6003,–,2009
188,"Amador, CA",CA,6005,133.2,2009
189,"Butte, CA",CA,6007,167.3,2009
190,"Calaveras, CA",CA,6009,93.7,2009
191,"Colusa, CA",CA,6011,40.7,2009
192,"Contra Costa, CA",CA,6013,59.6,2009
193,"Del Norte, CA",CA,6015,142.5,2009
194,"El Dorado, CA",CA,6017,83.8,2009
195,"Fresno, CA",CA,6019,69.0,2009
196,"Glenn, CA",CA,6021,69.2,2009
197,"Humboldt, CA",CA,6023,142.3,2009
198,"Imperial, CA",CA,6025,50.7,2009
199,"Inyo, CA",CA,6027,63.6,2009
200,"Kern, CA",CA,6029,65.0,2009
201,"Kings, CA",CA,6031,78.8,2009
202,"Lake, CA",CA,6033,166.0,2009
203,"Lassen, CA",CA,6035,113.7,2009
204,"Los Angeles, CA",CA,6037,41.2,2009
205,"Madera, CA",CA,6039,58.0,2009
206,"Marin, CA",CA,6041,56.5,2009
