,County,State,County FIPS Code,Opioid Dispensing Rate per 100,year
0,"Aleutians East, AK",AK,2013,–,2016
1,"Aleutians West, AK",AK,2016,–,2016
2,"Anchorage, AK",AK,2020,66.3,2016
3,"Bethel, AK",AK,2050,–,2016
4,"Bristol Bay, AK",AK,2060,–,2016
5,"Denali, AK",AK,2068,–,2016
6,"Dillingham, AK",AK,2070,–,2016
7,"Fairbanks North Star, AK",AK,2090,48.4,2016
8,"Haines, AK",AK,2100,–,2016
9,"Hoonah-Angoon, AK",AK,2105,–,2016
10,"Juneau, AK",AK,2110,79.8,2016
11,"Kenai Peninsula, AK",AK,2122,97.9,2016
12,"Ketchikan Gateway, AK",AK,2130,91.5,2016
13,"Kodiak Island, AK",AK,2150,33.6,2016
14,"Lake and Peninsula, AK",AK,2164,–,2016
15,"Matanuska-Susitna, AK",AK,2170,76.4,2016
16,"Nome, AK",AK,2180,–,2016
17,"North Slope, AK",AK,2185,–,2016
18,"Northwest Arctic, AK",AK,2188,–,2016
19,"Petersburg, AK",AK,2195,71.0,2016
20,"Prince of Wales-Hyder, AK",AK,2198,56.4,2016
21,"Sitka, AK",AK,2220,9.5,2016
22,"Skagway, AK",AK,2230,–,2016
23,"Southeast Fairbanks, AK",AK,2240,–,2016
24,"Valdez-Cordova, AK",AK,2261,45.0,2016
25,"Wade Hampton, AK",AK,2270,–,2016
26,"Wrangell, AK",AK,2275,0.6,2016
27,"Yakutat, AK",AK,2282,–,2016
28,"Yukon-Koyukuk, AK",AK,2290,–,2016
29,"Autauga, AL",AL,1001,129.6,2016
30,"Baldwin, AL",AL,1003,123.8,2016
31,"Barbour, AL",AL,1005,92.7,2016
32,"Bibb, AL",AL,1007,97.2,2016
33,"Blount, AL",AL,1009,56.9,2016
34,"Bullock, AL",AL,1011,19.8,2016
35,"Butler, AL",AL,1013,135.4,2016
36,"Calhoun, AL",AL,1015,161.0,2016
37,"Chambers, AL",AL,1017,140.6,2016
38,"Cherokee, AL",AL,1019,157.7,2016
39,"Chilton, AL",AL,1021,120.4,2016
40,"Choctaw, AL",AL,1023,97.8,2016
