,County,State,County FIPS Code,Opioid Dispensing Rate per 100,year
0,"Aleutians East, AK",AK,2013,–,2012
1,"Aleutians West, AK",AK,2016,–,2012
2,"Anchorage, AK",AK,2020,75.3,2012
3,"Bethel, AK",AK,2050,–,2012
4,"Bristol Bay, AK",AK,2060,–,2012
5,"Denali, AK",AK,2068,–,2012
6,"Dillingham, AK",AK,2070,–,2012
7,"Fairbanks North Star, AK",AK,2090,58.7,2012
8,"Haines, AK",AK,2100,–,2012
9,"Hoonah-Angoon, AK",AK,2105,–,2012
10,"Juneau, AK",AK,2110,90.9,2012
11,"Kenai Peninsula, AK",AK,2122,101.7,2012
12,"Ketchikan Gateway, AK",AK,2130,112.7,2012
13,"Kodiak Island, AK",AK,2150,47.7,2012
14,"Lake and Peninsula, AK",AK,2164,–,2012
15,"Matanuska-Susitna, AK",AK,2170,91.0,2012
16,"Nome, AK",AK,2180,–,2012
17,"North Slope, AK",AK,2185,–,2012
18,"Northwest Arctic, AK",AK,2188,–,2012
19,"Petersburg, AK",AK,2195,101.2,2012
20,"Prince of Wales-Hyder, AK",AK,2198,10.7,2012
21,"Sitka, AK",AK,2220,–,2012
22,"Skagway, AK",AK,2230,–,2012
23,"Southeast Fairbanks, AK",AK,2240,–,2012
24,"Valdez-Cordova, AK",AK,2261,60.9,2012
25,"Wade Hampton, AK",AK,2270,–,2012
26,"Wrangell, AK",AK,2275,–,2012
27,"Yakutat, AK",AK,2282,–,2012
28,"Yukon-Koyukuk, AK",AK,2290,–,2012
29,"Autauga, AL",AL,1001,157.8,2012
30,"Baldwin, AL",AL,1003,156.4,2012
31,"Barbour, AL",AL,1005,118.3,2012
32,"Bibb, AL",AL,1007,69.2,2012
33,"Blount, AL",AL,1009,66.6,2012
34,"Bullock, AL",AL,1011,40.8,2012
35,"Butler, AL",AL,1013,158.6,2012
36,"Calhoun, AL",AL,1015,185.6,2012
37,"Chambers, AL",AL,1017,168.4,2012
38,"Cherokee, AL",AL,1019,165.3,2012
39,"Chilton, AL",AL,1021,130.3,2012
40,"Choctaw, AL",AL,1023,125.8,2012
41,"Clarke, AL",AL,1025,181.9,2012
42,"Clay, AL",AL,1027,144.6,2012
43,"Cleburne, AL",AL,1029,36.9,2012
44,"Coffee, AL",AL,1031,168.8,2012
45,"Colbert, AL",AL,1033,221.2,2012
46,"Conecuh, AL",AL,1035,172.7,2012
47,"Coosa, AL",AL,1037,56.8,2012
48,"Covington, AL",AL,1039,202.5,2012
49,"Crenshaw, AL",AL,1041,120.5,2012
50,"Cullman, AL",AL,1043,191.4,2012
51,"Dale, AL",AL,1045,77.3,2012
52,"Dallas, AL",AL,1047,118.6,2012
53,"DeKalb, AL",AL,1049,122.3,2012
54,"Elmore, AL",AL,1051,137.8,2012
55,"Escambia, AL",AL,1053,152.1,2012
56,"Etowah, AL",AL,1055,191.1,2012
57,"Fayette, AL",AL,1057,66.0,2012
58,"Franklin, AL",AL,1059,246.0,2012
59,"Geneva, AL",AL,1061,41.6,2012
60,"Greene, AL",AL,1063,32.9,2012
61,"Hale, AL",AL,1065,98.6,2012
62,"Henry, AL",AL,1067,37.5,2012
63,"Houston, AL",AL,1069,185.2,2012
