,County,State,County FIPS Code,Opioid Dispensing Rate per 100,year
0,"Aleutians East, AK",AK,2013,–,2015
1,"Aleutians West, AK",AK,2016,–,2015
2,"Anchorage, AK",AK,2020,68.2,2015
3,"Bethel, AK",AK,2050,–,2015
4,"Bristol Bay, AK",AK,2060,–,2015
5,"Denali, AK",AK,2068,–,2015
6,"Dillingham, AK",AK,2070,–,2015
7,"Fairbanks North Star, AK",AK,2090,50.5,2015
8,"Haines, AK",AK,2100,–,2015
9,"Hoonah-Angoon, AK",AK,2105,–,2015
10,"Juneau, AK",AK,2110,81.3,2015
11,"Kenai Peninsula, AK",AK,2122,100.1,2015
12,"Ketchikan Gateway, AK",AK,2130,101.8,2015
13,"Kodiak Island, AK",AK,2150,34.2,2015
14,"Lake and Peninsula, AK",AK,2164,–,2015
15,"Matanuska-Susitna, AK",AK,2170,78.9,2015
16,"Nome, AK",AK,2180,–,2015
17,"North Slope, AK",AK,2185,–,2015
18,"Northwest Arctic, AK",AK,2188,–,2015
19,"Petersburg, AK",AK,2195,80.3,2015
20,"Prince of Wales-Hyder, AK",AK,2198,63.9,2015
21,"Sitka, AK",AK,2220,10.5,2015
22,"Skagway, AK",AK,2230,–,2015
23,"Southeast Fairbanks, AK",AK,2240,–,2015
24,"Valdez-Cordova, AK",AK,2261,43.0,2015
25,"Wade Hampton, AK",AK,2270,–,2015
26,"Wrangell, AK",AK,2275,0.4,2015
27,"Yakutat, AK",AK,2282,–,2015
28,"Yukon-Koyukuk, AK",AK,2290,–,2015
29,"Autauga, AL",AL,1001,129.9,2015
30,"Baldwin, AL",AL,1003,132.1,2015
31,"Barbour, AL",AL,1005,93.3,2015
32,"Bibb, AL",AL,1007,69.4,2015
33,"Blount, AL",AL,1009,57.9,2015
34,"Bullock, AL",AL,1011,23.4,2015
35,"Butler, AL",AL,1013,140.5,2015
36,"Calhoun, AL",AL,1015,165.4,2015
37,"Chambers, AL",AL,1017,147.3,2015
38,"Cherokee, AL",AL,1019,169.2,2015
39,"Chilton, AL",AL,1021,120.6,2015
40,"Choctaw, AL",AL,1023,97.0,2015
41,"Clarke, AL",AL,1025,165.6,2015
42,"Clay, AL",AL,1027,139.7,2015
43,"Cleburne, AL",AL,1029,51.1,2015
44,"Coffee, AL",AL,1031,131.9,2015
45,"Colbert, AL",AL,1033,222.9,2015
46,"Conecuh, AL",AL,1035,102.8,2015
