,County,State,County FIPS Code,Opioid Dispensing Rate per 100,year
0,"Aleutians East, AK",AK,2013,–,2006
1,"Aleutians West, AK",AK,2016,–,2006
2,"Anchorage, AK",AK,2020,71.5,2006
3,"Bethel, AK",AK,2050,–,2006
4,"Bristol Bay, AK",AK,2060,–,2006
5,"Denali, AK",AK,2068,–,2006
6,"Dillingham, AK",AK,2070,–,2006
7,"Fairbanks North Star, AK",AK,2090,54.7,2006
8,"Haines, AK",AK,2100,–,2006
9,"Hoonah-Angoon, AK",AK,2105,–,2006
10,"Juneau, AK",AK,2110,95.3,2006
11,"Kenai Peninsula, AK",AK,2122,89.1,2006
12,"Ketchikan Gateway, AK",AK,2130,144.4,2006
13,"Kodiak Island, AK",AK,2150,69.4,2006
14,"Lake and Peninsula, AK",AK,2164,–,2006
15,"Matanuska-Susitna, AK",AK,2170,82.5,2006
16,"Nome, AK",AK,2180,–,2006
17,"North Slope, AK",AK,2185,–,2006
18,"Northwest Arctic, AK",AK,2188,–,2006
19,"Petersburg, AK",AK,2195,107.4,2006
20,"Prince of Wales-Hyder, AK",AK,2198,–,2006
21,"Sitka, AK",AK,2220,–,2006
22,"Skagway, AK",AK,2230,–,2006
23,"Southeast Fairbanks, AK",AK,2240,–,2006
24,"Valdez-Cordova, AK",AK,2261,46.5,2006
25,"Wade Hampton, AK",AK,2270,–,2006
26,"Wrangell, AK",AK,2275,–,2006
27,"Yakutat, AK",AK,2282,–,2006
28,"Yukon-Koyukuk, AK",AK,2290,–,2006
29,"Autauga, AL",AL,1001,134.8,2006
30,"Baldwin, AL",AL,1003,127.8,2006
31,"Barbour, AL",AL,1005,78.1,2006
32,"Bibb, AL",AL,1007,114.3,2006
33,"Blount, AL",AL,1009,40.3,2006
34,"Bullock, AL",AL,1011,34.6,2006
35,"Butler, AL",AL,1013,105.4,2006
36,"Calhoun, AL",AL,1015,165.7,2006
37,"Chambers, AL",AL,1017,120.4,2006
38,"Cherokee, AL",AL,1019,123.8,2006
39,"Chilton, AL",AL,1021,109.0,2006
40,"Choctaw, AL",AL,1023,60.2,2006
41,"Clarke, AL",AL,1025,120.6,2006
42,"Clay, AL",AL,1027,114.0,2006
43,"Cleburne, AL",AL,1029,12.6,2006
44,"Coffee, AL",AL,1031,118.6,2006
45,"Colbert, AL",AL,1033,196.8,2006
46,"Conecuh, AL",AL,1035,142.1,2006
47,"Coosa, AL",AL,1037,25.2,2006
48,"Covington, AL",AL,1039,202.1,2006
49,"Crenshaw, AL",AL,1041,93.7,2006
50,"Cullman, AL",AL,1043,140.6,2006
51,"Dale, AL",AL,1045,64.0,2006
52,"Dallas, AL",AL,1047,77.9,2006
53,"DeKalb, AL",AL,1049,50.6,2006
54,"Elmore, AL",AL,1051,83.0,2006
55,"Escambia, AL",AL,1053,116.7,2006
56,"Etowah, AL",AL,1055,126.2,2006
57,"Fayette, AL",AL,1057,78.0,2006
58,"Franklin, AL",AL,1059,160.3,2006
59,"Geneva, AL",AL,1061,30.2,2006
60,"Greene, AL",AL,1063,32.4,2006
61,"Hale, AL",AL,1065,59.3,2006
62,"Henry, AL",AL,1067,41.0,2006
63,"Houston, AL",AL,1069,157.6,2006
64,"Jackson, AL",AL,1071,108.9,2006
65,"Jefferson, AL",AL,1073,119.4,2006
66,"Lamar, AL",AL,1075,53.0,2006
67,"Lauderdale, AL",AL,1077,132.7,2006
68,"Lawrence, AL",AL,1079,45.9,2006
69,"Lee, AL",AL,1081,70.6,2006
70,"Limestone, AL",AL,1083,60.0,2006
71,"Lowndes, AL",AL,1085,9.1,2006
72,"Macon, AL",AL,1087,46.6,2006
73,"Madison, AL",AL,1089,115.3,2006
74,"Marengo, AL",AL,1091,114.1,2006
75,"Marion, AL",AL,1093,216.0,2006
76,"Marshall, AL",AL,1095,182.3,2006
77,"Mobile, AL",AL,1097,127.7,2006
78,"Monroe, AL",AL,1099,134.3,2006
79,"Montgomery, AL",AL,1101,97.5,2006
80,"Morgan, AL",AL,1103,151.8,2006
81,"Perry, AL",AL,1105,–,2006
82,"Pickens, AL",AL,1107,85.5,2006
83,"Pike, AL",AL,1109,88.3,2006
84,"Randolph, AL",AL,1111,56.4,2006
85,"Russell, AL",AL,1113,139.5,2006
86,"St. Clair, AL",AL,1115,79.1,2006
87,"Shelby, AL",AL,1117,110.4,2006
