,County,State,County FIPS Code,Opioid Dispensing Rate per 100,year
0,"Aleutians East, AK",AK,2013,–,2013
1,"Aleutians West, AK",AK,2016,–,2013
2,"Anchorage, AK",AK,2020,68.6,2013
3,"Bethel, AK",AK,2050,–,2013
4,"Bristol Bay, AK",AK,2060,–,2013
5,"Denali, AK",AK,2068,–,2013
6,"Dillingham, AK",AK,2070,–,2013
7,"Fairbanks North Star, AK",AK,2090,53.9,2013
8,"Haines, AK",AK,2100,–,2013
9,"Hoonah-Angoon, AK",AK,2105,–,2013
10,"Juneau, AK",AK,2110,90.2,2013
11,"Kenai Peninsula, AK",AK,2122,102.2,2013
12,"Ketchikan Gateway, AK",AK,2130,102.9,2013
13,"Kodiak Island, AK",AK,2150,41.7,2013
14,"Lake and Peninsula, AK",AK,2164,–,2013
15,"Matanuska-Susitna, AK",AK,2170,92.3,2013
16,"Nome, AK",AK,2180,–,2013
17,"North Slope, AK",AK,2185,–,2013
18,"Northwest Arctic, AK",AK,2188,–,2013
19,"Petersburg, AK",AK,2195,100.5,2013
20,"Prince of Wales-Hyder, AK",AK,2198,52.6,2013
21,"Sitka, AK",AK,2220,–,2013
22,"Skagway, AK",AK,2230,–,2013
23,"Southeast Fairbanks, AK",AK,2240,–,2013
24,"Valdez-Cordova, AK",AK,2261,60.2,2013
25,"Wade Hampton, AK",AK,2270,–,2013
26,"Wrangell, AK",AK,2275,–,2013
27,"Yakutat, AK",AK,2282,–,2013
28,"Yukon-Koyukuk, AK",AK,2290,–,2013
29,"Autauga, AL",AL,1001,166.7,2013
30,"Baldwin, AL",AL,1003,154.3,2013
31,"Barbour, AL",AL,1005,107.5,2013
32,"Bibb, AL",AL,1007,70.5,2013
33,"Blount, AL",AL,1009,65.9,2013
34,"Bullock, AL",AL,1011,41.2,2013
35,"Butler, AL",AL,1013,149.7,2013
36,"Calhoun, AL",AL,1015,188.9,2013
37,"Chambers, AL",AL,1017,169.7,2013
38,"Cherokee, AL",AL,1019,163.8,2013
39,"Chilton, AL",AL,1021,134.3,2013
40,"Choctaw, AL",AL,1023,125.9,2013
41,"Clarke, AL",AL,1025,189.0,2013
42,"Clay, AL",AL,1027,163.3,2013
43,"Cleburne, AL",AL,1029,41.8,2013
44,"Coffee, AL",AL,1031,147.2,2013
45,"Colbert, AL",AL,1033,229.9,2013
46,"Conecuh, AL",AL,1035,170.8,2013
47,"Coosa, AL",AL,1037,51.8,2013
48,"Covington, AL",AL,1039,219.0,2013
49,"Crenshaw, AL",AL,1041,111.8,2013
50,"Cullman, AL",AL,1043,190.4,2013
51,"Dale, AL",AL,1045,74.0,2013
52,"Dallas, AL",AL,1047,125.7,2013
53,"DeKalb, AL",AL,1049,123.6,2013
54,"Elmore, AL",AL,1051,132.2,2013
55,"Escambia, AL",AL,1053,164.2,2013
56,"Etowah, AL",AL,1055,199.1,2013
57,"Fayette, AL",AL,1057,150.9,2013
58,"Franklin, AL",AL,1059,237.6,2013
59,"Geneva, AL",AL,1061,44.3,2013
60,"Greene, AL",AL,1063,48.0,2013
61,"Hale, AL",AL,1065,102.7,2013
62,"Henry, AL",AL,1067,36.5,2013
63,"Houston, AL",AL,1069,179.8,2013
64,"Jackson, AL",AL,1071,140.5,2013
65,"Jefferson, AL",AL,1073,136.7,2013
66,"Lamar, AL",AL,1075,81.2,2013
67,"Lauderdale, AL",AL,1077,156.1,2013
68,"Lawrence, AL",AL,1079,130.5,2013
69,"Lee, AL",AL,1081,74.9,2013
70,"Limestone, AL",AL,1083,79.5,2013
71,"Lowndes, AL",AL,1085,9.6,2013
72,"Macon, AL",AL,1087,75.8,2013
73,"Madison, AL",AL,1089,131.8,2013
74,"Marengo, AL",AL,1091,147.1,2013
75,"Marion, AL",AL,1093,222.0,2013
76,"Marshall, AL",AL,1095,229.8,2013
77,"Mobile, AL",AL,1097,164.2,2013
78,"Monroe, AL",AL,1099,150.1,2013
79,"Montgomery, AL",AL,1101,112.0,2013
80,"Morgan, AL",AL,1103,159.9,2013
81,"Perry, AL",AL,1105,–,2013
82,"Pickens, AL",AL,1107,133.0,2013
83,"Pike, AL",AL,1109,117.5,2013
84,"Randolph, AL",AL,1111,128.0,2013
85,"Russell, AL",AL,1113,146.0,2013
86,"St. Clair, AL",AL,1115,117.8,2013
87,"Shelby, AL",AL,1117,119.4,2013
88,"Sumter, AL",AL,1119,50.1,2013
89,"Talladega, AL",AL,1121,167.5,2013
90,"Tallapoosa, AL",AL,1123,111.1,2013
91,"Tuscaloosa, AL",AL,1125,123.8,2013
92,"Walker, AL",AL,1127,317.1,2013
93,"Washington, AL",AL,1129,37.4,2013
94,"Wilcox, AL",AL,1131,58.2,2013
95,"Winston, AL",AL,1133,200.5,2013
96,"Arkansas, AR",AR,5001,83.7,2013
97,"Ashley, AR",AR,5003,101.2,2013
98,"Baxter, AR",AR,5005,155.6,2013
99,"Benton, AR",AR,5007,95.2,2013
100,"Boone, AR",AR,5009,167.8,2013
101,"Bradley, AR",AR,5011,150.4,2013
102,"Calhoun, AR",AR,5013,93.7,2013
103,"Carroll, AR",AR,5015,74.2,2013
104,"Chicot, AR",AR,5017,50.6,2013
105,"Clark, AR",AR,5019,117.5,2013
106,"Clay, AR",AR,5021,87.5,2013
107,"Cleburne, AR",AR,5023,122.9,2013
108,"Cleveland, AR",AR,5025,–,2013
109,"Columbia, AR",AR,5027,121.4,2013
110,"Conway, AR",AR,5029,95.8,2013
111,"Craighead, AR",AR,5031,161.9,2013
112,"Crawford, AR",AR,5033,174.3,2013
113,"Crittenden, AR",AR,5035,101.2,2013
114,"Cross, AR",AR,5037,107.7,2013
115,"Dallas, AR",AR,5039,110.8,2013
116,"Desha, AR",AR,5041,143.8,2013
117,"Drew, AR",AR,5043,121.1,2013
118,"Faulkner, AR",AR,5045,104.0,2013
119,"Franklin, AR",AR,5047,19.0,2013
120,"Fulton, AR",AR,5049,105.5,2013
121,"Garland, AR",AR,5051,200.3,2013
122,"Grant, AR",AR,5053,64.3,2013
123,"Greene, AR",AR,5055,184.9,2013
124,"Hempstead, AR",AR,5057,141.4,2013
125,"Hot Spring, AR",AR,5059,118.4,2013
126,"Howard, AR",AR,5061,173.6,2013
127,"Independence, AR",AR,5063,197.0,2013
128,"Izard, AR",AR,5065,99.6,2013
129,"Jackson, AR",AR,5067,163.2,2013
130,"Jefferson, AR",AR,5069,112.5,2013
131,"Johnson, AR",AR,5071,146.8,2013
132,"Lafayette, AR",AR,5073,–,2013
133,"Lawrence, AR",AR,5075,38.0,2013
134,"Lee, AR",AR,5077,34.9,2013
135,"Lincoln, AR",AR,5079,61.5,2013
136,"Little River, AR",AR,5081,159.9,2013
137,"Logan, AR",AR,5083,35.6,2013
138,"Lonoke, AR",AR,5085,113.5,2013
139,"Madison, AR",AR,5087,79.1,2013
140,"Marion, AR",AR,5089,74.8,2013
141,"Miller, AR",AR,5091,141.6,2013
142,"Mississippi, AR",AR,5093,136.0,2013
143,"Monroe, AR",AR,5095,81.3,2013
144,"Montgomery, AR",AR,5097,108.0,2013
145,"Nevada, AR",AR,5099,–,2013
146,"Newton, AR",AR,5101,–,2013
147,"Ouachita, AR",AR,5103,137.0,2013
148,"Perry, AR",AR,5105,94.9,2013
149,"Phillips, AR",AR,5107,171.1,2013
150,"Pike, AR",AR,5109,–,2013
151,"Poinsett, AR",AR,5111,93.8,2013
152,"Polk, AR",AR,5113,123.7,2013
153,"Pope, AR",AR,5115,148.2,2013
154,"Prairie, AR",AR,5117,101.3,2013
155,"Pulaski, AR",AR,5119,120.2,2013
156,"Randolph, AR",AR,5121,112.2,2013
157,"St. Francis, AR",AR,5123,94.7,2013
158,"Saline, AR",AR,5125,100.4,2013
159,"Scott, AR",AR,5127,141.6,2013
160,"Searcy, AR",AR,5129,111.8,2013
161,"Sebastian, AR",AR,5131,190.4,2013
162,"Sevier, AR",AR,5133,64.8,2013
163,"Sharp, AR",AR,5135,108.3,2013
164,"Stone, AR",AR,5137,86.9,2013
165,"Union, AR",AR,5139,133.6,2013
166,"Van Buren, AR",AR,5141,86.7,2013
167,"Washington, AR",AR,5143,108.2,2013
168,"White, AR",AR,5145,129.9,2013
169,"Woodruff, AR",AR,5147,30.3,2013
170,"Yell, AR",AR,5149,36.9,2013
171,"Apache, AZ",AZ,4001,22.1,2013
172,"Cochise, AZ",AZ,4003,83.3,2013
173,"Coconino, AZ",AZ,4005,57.9,2013
174,"Gila, AZ",AZ,4007,129.4,2013
175,"Graham, AZ",AZ,4009,117.0,2013
176,"Greenlee, AZ",AZ,4011,–,2013
177,"La Paz, AZ",AZ,4012,85.2,2013
178,"Maricopa, AZ",AZ,4013,78.5,2013
179,"Mohave, AZ",AZ,4015,140.5,2013
180,"Navajo, AZ",AZ,4017,74.5,2013
181,"Pima, AZ",AZ,4019,86.4,2013
182,"Pinal, AZ",AZ,4021,64.1,2013
183,"Santa Cruz, AZ",AZ,4023,26.4,2013
184,"Yavapai, AZ",AZ,4025,112.6,2013
185,"Yuma, AZ",AZ,4027,57.9,2013
186,"Alameda, CA",CA,6001,39.4,2013
187,"Alpine, CA",CA,6003,–,2013
188,"Amador, CA",CA,6005,140.7,2013
189,"Butte, CA",CA,6007,157.3,2013
190,"Calaveras, CA",CA,6009,94.5,2013
191,"Colusa, CA",CA,6011,56.4,2013
192,"Contra Costa, CA",CA,6013,55.5,2013
193,"Del Norte, CA",CA,6015,170.6,2013
194,"El Dorado, CA",CA,6017,80.2,2013
195,"Fresno, CA",CA,6019,68.1,2013
196,"Glenn, CA",CA,6021,83.0,2013
197,"Humboldt, CA",CA,6023,128.1,2013
198,"Imperial, CA",CA,6025,59.1,2013
199,"Inyo, CA",CA,6027,70.4,2013
200,"Kern, CA",CA,6029,65.8,2013
201,"Kings, CA",CA,6031,82.1,2013
202,"Lake, CA",CA,6033,171.2,2013
203,"Lassen, CA",CA,6035,111.2,2013
204,"Los Angeles, CA",CA,6037,40.3,2013
205,"Madera, CA",CA,6039,61.9,2013
206,"Marin, CA",CA,6041,48.3,2013
207,"Mariposa, CA",CA,6043,71.1,2013
208,"Mendocino, CA",CA,6045,129.4,2013
209,"Merced, CA",CA,6047,75.0,2013
210,"Modoc, CA",CA,6049,117.2,2013
211,"Mono, CA",CA,6051,56.1,2013
212,"Monterey, CA",CA,6053,62.9,2013
213,"Napa, CA",CA,6055,51.7,2013
214,"Nevada, CA",CA,6057,105.3,2013
215,"Orange, CA",CA,6059,48.7,2013
216,"Placer, CA",CA,6061,76.3,2013
217,"Plumas, CA",CA,6063,121.5,2013
218,"Riverside, CA",CA,6065,56.6,2013
219,"Sacramento, CA",CA,6067,63.6,2013
220,"San Benito, CA",CA,6069,56.1,2013
221,"San Bernardino, CA",CA,6071,57.6,2013
222,"San Diego, CA",CA,6073,47.8,2013
223,"San Francisco, CA",CA,6075,42.4,2013
224,"San Joaquin, CA",CA,6077,70.2,2013
225,"San Luis Obispo, CA",CA,6079,87.2,2013
226,"San Mateo, CA",CA,6081,38.6,2013
227,"Santa Barbara, CA",CA,6083,64.8,2013
228,"Santa Clara, CA",CA,6085,30.2,2013
229,"Santa Cruz, CA",CA,6087,74.5,2013
230,"Shasta, CA",CA,6089,160.2,2013
231,"Sierra, CA",CA,6091,43.7,2013
232,"Siskiyou, CA",CA,6093,124.0,2013
233,"Solano, CA",CA,6095,56.5,2013
234,"Sonoma, CA",CA,6097,70.6,2013
235,"Stanislaus, CA",CA,6099,106.2,2013
236,"Sutter, CA",CA,6101,124.9,2013
237,"Tehama, CA",CA,6103,121.6,2013
238,"Trinity, CA",CA,6105,117.0,2013
239,"Tulare, CA",CA,6107,84.3,2013
240,"Tuolumne, CA",CA,6109,162.4,2013
241,"Ventura, CA",CA,6111,62.3,2013
242,"Yolo, CA",CA,6113,55.5,2013
243,"Yuba, CA",CA,6115,105.5,2013
244,"Adams, CO",CO,8001,60.3,2013
245,"Alamosa, CO",CO,8003,202.6,2013
246,"Arapahoe, CO",CO,8005,66.1,2013
247,"Archuleta, CO",CO,8007,71.8,2013
248,"Baca, CO",CO,8009,98.5,2013
249,"Bent, CO",CO,8011,55.9,2013
250,"Boulder, CO",CO,8013,57.1,2013
251,"Broomfield, CO",CO,8014,65.4,2013
252,"Chaffee, CO",CO,8015,103.7,2013
253,"Cheyenne, CO",CO,8017,70.0,2013
254,"Clear Creek, CO",CO,8019,35.9,2013
