,County,State,County FIPS Code,Opioid Dispensing Rate per 100,year
0,"Aleutians East, AK",AK,2013,–,2010
1,"Aleutians West, AK",AK,2016,–,2010
2,"Anchorage, AK",AK,2020,75.1,2010
3,"Bethel, AK",AK,2050,–,2010
4,"Bristol Bay, AK",AK,2060,–,2010
5,"Denali, AK",AK,2068,–,2010
6,"Dillingham, AK",AK,2070,–,2010
7,"Fairbanks North Star, AK",AK,2090,54.8,2010
8,"Haines, AK",AK,2100,–,2010
9,"Hoonah-Angoon, AK",AK,2105,–,2010
10,"Juneau, AK",AK,2110,92.2,2010
11,"Kenai Peninsula, AK",AK,2122,103.0,2010
12,"Ketchikan Gateway, AK",AK,2130,137.5,2010
13,"Kodiak Island, AK",AK,2150,62.2,2010
14,"Lake and Peninsula, AK",AK,2164,–,2010
15,"Matanuska-Susitna, AK",AK,2170,100.5,2010
16,"Nome, AK",AK,2180,–,2010
17,"North Slope, AK",AK,2185,–,2010
18,"Northwest Arctic, AK",AK,2188,–,2010
19,"Petersburg, AK",AK,2195,107.8,2010
20,"Prince of Wales-Hyder, AK",AK,2198,–,2010
21,"Sitka, AK",AK,2220,–,2010
22,"Skagway, AK",AK,2230,–,2010
23,"Southeast Fairbanks, AK",AK,2240,–,2010
24,"Valdez-Cordova, AK",AK,2261,61.4,2010
25,"Wade Hampton, AK",AK,2270,–,2010
26,"Wrangell, AK",AK,2275,48.2,2010
27,"Yakutat, AK",AK,2282,–,2010
28,"Yukon-Koyukuk, AK",AK,2290,–,2010
29,"Autauga, AL",AL,1001,151.7,2010
30,"Baldwin, AL",AL,1003,143.8,2010
31,"Barbour, AL",AL,1005,97.0,2010
32,"Bibb, AL",AL,1007,58.9,2010
33,"Blount, AL",AL,1009,60.1,2010
34,"Bullock, AL",AL,1011,53.8,2010
35,"Butler, AL",AL,1013,117.5,2010
36,"Calhoun, AL",AL,1015,182.5,2010
37,"Chambers, AL",AL,1017,150.3,2010
38,"Cherokee, AL",AL,1019,165.6,2010
39,"Chilton, AL",AL,1021,114.7,2010
40,"Choctaw, AL",AL,1023,110.3,2010
41,"Clarke, AL",AL,1025,166.6,2010
42,"Clay, AL",AL,1027,127.2,2010
43,"Cleburne, AL",AL,1029,19.8,2010
44,"Coffee, AL",AL,1031,134.0,2010
45,"Colbert, AL",AL,1033,209.6,2010
46,"Conecuh, AL",AL,1035,187.8,2010
47,"Coosa, AL",AL,1037,50.6,2010
48,"Covington, AL",AL,1039,185.9,2010
49,"Crenshaw, AL",AL,1041,116.9,2010
50,"Cullman, AL",AL,1043,178.8,2010
51,"Dale, AL",AL,1045,79.1,2010
52,"Dallas, AL",AL,1047,126.0,2010
53,"DeKalb, AL",AL,1049,81.2,2010
54,"Elmore, AL",AL,1051,113.4,2010
