Year,State,Dispensing_Rate,
2011,AZ,88.6,
2011,AR,115.2,
2011,CA,55.9,
2011,CO,73,
2011,CT,69.1,
2011,DE,99.7,
2011,DC,39.8,
2011,FL,83.5,
2011,GA,88.6,
2011,HI,50.1,
2011,ID,91.4,
2011,IL,64.3,
2011,IN,106.7,
2011,IA,64,
2011,KS,87.8,
2011,KY,137,
2011,LA,111.7,
2011,ME,93.1,
2011,MD,72.9,
2011,MA,65.9,
2011,MI,98.8,
2011,MN,60,
2011,MS,117.2,
2011,MO,91.6,
2011,MT,85.3,
2011,NE,68.8,
2011,NV,100.3,
2011,NH,80.9,
2011,NJ,61.5,
2011,NM,81.6,
2011,NY,51.1,
2011,NC,93.5,
2011,ND,61.3,
2011,OH,101.5,
2011,OK,122.3,
2011,OR,100.7,
2011,PA,81.7,
2011,RI,82.5,
2011,SC,96.8,
2011,SD,55.1,
2011,TN,138.5,
2011,TX,72,
2011,UT,85.2,
2011,VT,53.6,
2011,VA,76.6,
2011,WA,81.6,
2011,WV,139.6,
2011,WI,75.2,
2011,WY,78.2,
2012,AL,143.8,
2012,AK,66.8,
2012,AZ,85.3,
2012,AR,121.8,
2012,CA,56.4,
2012,CO,73.5,
2012,CT,69.3,
2012,DE,94,
2012,DC,40.3,
2012,FL,75.9,
2012,GA,89.4,
2012,HI,50.4,
2012,ID,92,
2012,IL,66.1,
2012,IN,110.5,
2012,IA,74.1,
2012,KS,90.3,
2012,KY,127.9,
2012,LA,113,
2012,ME,89.7,
2012,MD,72.2,
2012,MA,65.7,
2012,MI,100.7,
2012,MN,60.9,
2012,MS,121.8,
2012,MO,95.4,
2012,MT,87.7,
2012,NE,73.2,
2012,NV,98.9,
2012,NH,83.7,
2012,NJ,60.1,
2012,NM,76.8,
2012,NY,51.8,
2012,NC,98.6,
2012,ND,62.1,
2012,OH,97.5,
2012,OK,127.4,
2012,OR,98.7,
2012,PA,83.3,
2012,RI,83.2,
2012,SC,104,
2012,SD,60.1,
2012,TN,136.1,
2012,TX,73.4,
2012,UT,84.5,
2012,VT,54.6,
2012,VA,79.6,
2012,WA,78.7,
2012,WV,136.9,
2012,WI,76.8,
2012,WY,80.5,
2013,AL,142.4,
2013,AK,63.7,
2013,AZ,80.4,
2013,AR,120.9,
2013,CA,54.4,
2013,CO,71.2,
2013,CT,67.4,
2013,DE,92.7,
2013,DC,41.1,
2013,FL,73.5,
2013,GA,86.6,
2013,HI,49.4,
2013,ID,89.2,
2013,IL,63.7,
2013,IN,106.3,
2013,IA,72.2,
2013,KS,88.7,
2013,KY,111.7,
2013,LA,112.4,
2013,ME,85.9,
2013,MD,69,
2013,MA,63,
2013,MI,98.9,
2013,MN,58.3,
2013,MS,119.6,
2013,MO,93.3,
2013,MT,84.2,
2013,NE,71.3,
2013,NV,91.1,
2013,NH,82,
2013,NJ,58.3,
2013,NM,71.4,
2013,NY,46.7,
2013,NC,96.7,
2013,ND,60.1,
2013,OH,93.1,
2013,OK,123.3,
2013,OR,94.2,
2013,PA,81.6,
2013,RI,76.9,
2013,SC,103,
2013,SD,60.6,
2013,TN,127.1,
2013,TX,70,
2013,UT,82.1,
2013,VT,52.2,
2013,VA,76.6,
2013,WA,75.2,
2013,WV,129,
2013,WI,73.8,
2013,WY,81.5,
2014,AL,135.2,
2014,AK,62.7,
2014,AZ,79.7,
2014,AR,123.2,
2014,CA,52.7,
2014,CO,69.6,
2014,CT,66,
2014,DE,91,
2014,DC,40.1,
2014,FL,71.4,
2014,GA,83.8,
2014,HI,47.7,
2014,ID,87.4,
2014,IL,62.3,
2014,IN,96.7,
2014,IA,72.3,
2014,KS,86.5,
2014,KY,110,
2014,LA,108.9,
2014,ME,82.4,
2014,MD,67.6,
2014,MA,59.6,
2014,MI,98,
2014,MN,56.6,
2014,MS,116.3,
2014,MO,90.7,
2014,MT,80.1,
2014,NE,70.1,
2014,NV,90.1,
2014,NH,79.6,
2014,NJ,57.2,
2014,NM,71.5,
2014,NY,43.9,
2014,NC,93.7,
2014,ND,58.1,
2014,OH,89.5,
2014,OK,110.9,
2014,OR,91.9,
2014,PA,79.9,
2014,RI,72.8,
2014,SC,101.3,
2014,SD,61.7,
2014,TN,121.3,
2014,TX,67,
2014,UT,78.8,
2014,VT,50.4,
2014,VA,73.5,
2014,WA,74.2,
2014,WV,126.4,
2014,WI,71.9,
2014,WY,80.9,
2015,AL,125,
2015,AK,60.8,
2015,AZ,75.5,
2015,AR,117.2,
2015,CA,47.7,
2015,CO,65.1,
2015,CT,62.3,
2015,DE,84.4,
2015,DC,35.7,
2015,FL,67.1,
2015,GA,79.4,
2015,HI,44.3,
2015,ID,81.9,
2015,IL,59.1,
2015,IN,89.1,
2015,IA,68.6,
2015,KS,80.5,
2015,KY,102.6,
2015,LA,100.4,
2015,ME,76.5,
2015,MD,63,
2015,MA,54,
2015,MI,90.5,
2015,MN,52.1,
2015,MS,110.9,
2015,MO,84.5,
2015,MT,73.3,
2015,NE,65.5,
2015,NV,85.4,
2015,NH,74.8,
2015,NJ,56,
2015,NM,69.8,
2015,NY,45.1,
2015,NC,88.4,
2015,ND,53,
2015,OH,82.7,
2015,OK,104.4,
2015,OR,84.2,
2015,PA,75.5,
2015,RI,65.7,
2015,SC,95.1,
2015,SD,59.1,
2015,TN,114.9,
2015,TX,59.8,
2015,UT,74.4,
2015,VT,60.1,
2015,VA,68.1,
2015,WA,69.8,
2015,WV,111.3,
2015,WI,67.5,
2015,WY,75.4,
2016,AL,121,
2016,AK,58.9,
2016,AZ,70.2,
2016,AR,114.6,
2016,CA,44.8,
2016,CO,59.8,
2016,CT,55.9,
2016,DE,79.2,
2016,DC,32.5,
2016,FL,66.6,
2016,GA,77.8,
2016,HI,41.9,
2016,ID,77.6,
2016,IL,56.8,
2016,IN,83.9,
2016,IA,64,
2016,KS,76.9,
2016,KY,97.2,
2016,LA,98.1,
2016,ME,66.9,
2016,MD,58.7,
2016,MA,47.1,
2016,MI,84.9,
2016,MN,46.9,
2016,MS,105.6,
2016,MO,80.4,
2016,MT,69.8,
2016,NE,62.8,
2016,NV,80.7,
2016,NH,64.3,
2016,NJ,52.6,
2016,NM,65.1,
2016,NY,42.7,
2016,NC,82.5,
2016,ND,47.8,
2016,OH,75.3,
2016,OK,97.9,
2016,OR,76.3,
2016,PA,69.5,
2016,RI,60.3,
2016,SC,89.4,
2016,SD,54.8,
2016,TN,107.5,
2016,TX,57.6,
2016,UT,70.4,
2016,VT,58.6,
2016,VA,63.4,
2016,WA,64.9,
2016,WV,96,
2016,WI,62.2,
2016,WY,71.1,
2017,AK,52,
2017,AL,108.8,
2017,AR,106.1,
2017,AZ,60.8,
2017,CA,39.8,
2017,CO,52.4,
2017,CT,48.6,
2017,DC,28.4,
2017,DE,68.6,
2017,FL,61.5,
2017,GA,71.3,
2017,HI,38.2,
2017,IA,56.7,
2017,ID,70.3,
2017,IL,51.4,
2017,IN,75.7,
2017,KS,70.3,
2017,KY,88.1,
2017,LA,89.8,
2017,MA,40,
2017,MD,52,
2017,ME,55.5,
2017,MI,75.5,
2017,MN,40.8,
2017,MO,72.2,
2017,MS,93.4,
2017,MT,61.3,
2017,NC,72.2,
2017,ND,41.7,
2017,NE,56.6,
2017,NH,52.5,
2017,NJ,45,
2017,NM,56.4,
2017,NV,73.2,
2017,NY,38.3,
2017,OH,63.8,
2017,OK,88.6,
2017,OR,65.8,
2017,PA,58.3,
