"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Blount County, AL"	"01009"	11	57826	Unreliable
	"Jefferson County, AL"	"01073"	50	660009	7.58
	"Mobile County, AL"	"01097"	15	413936	Unreliable
	"Shelby County, AL"	"01117"	15	200941	Unreliable
	"Walker County, AL"	"01127"	15	66221	Unreliable
	"Anchorage Borough, AK"	"02020"	34	298610	11.39
	"Matanuska-Susitna Borough, AK"	"02170"	18	93925	Unreliable
	"Cochise County, AZ"	"04003"	16	132088	Unreliable
	"Maricopa County, AZ"	"04013"	233	3942169	5.91
	"Mohave County, AZ"	"04015"	42	203334	20.66
	"Pima County, AZ"	"04019"	148	992394	14.91
	"Pinal County, AZ"	"04021"	32	387365	8.26
	"Yavapai County, AZ"	"04025"	26	212637	12.23
	"Benton County, AR"	"05007"	11	232268	Unreliable
	"Pulaski County, AR"	"05119"	20	388953	5.14
	"Washington County, AR"	"05143"	11	211411	Unreliable
	"Alameda County, CA"	"06001"	33	1554720	2.12
	"Butte County, CA"	"06007"	16	221539	Unreliable
	"Contra Costa County, CA"	"06013"	43	1079597	3.98
	"Fresno County, CA"	"06019"	43	947895	4.54
	"Humboldt County, CA"	"06023"	22	134827	16.32
	"Kern County, CA"	"06029"	46	856158	5.37
	"Lake County, CA"	"06033"	15	63983	Unreliable
	"Los Angeles County, CA"	"06037"	239	9962789	2.40
	"Madera County, CA"	"06039"	17	152218	Unreliable
	"Marin County, CA"	"06041"	14	256069	Unreliable
	"Monterey County, CA"	"06053"	24	426762	5.62
	"Orange County, CA"	"06059"	214	3090132	6.93
	"Riverside County, CA"	"06065"	120	2268783	5.29
	"Sacramento County, CA"	"06067"	65	1450121	4.48
	"San Bernardino County, CA"	"06071"	58	2081313	2.79
	"San Diego County, CA"	"06073"	264	3177063	8.31
	"San Francisco County, CA"	"06075"	58	825863	7.02
	"San Joaquin County, CA"	"06077"	40	702612	5.69
	"San Luis Obispo County, CA"	"06079"	19	274804	Unreliable
	"San Mateo County, CA"	"06081"	18	739311	Unreliable
	"Santa Barbara County, CA"	"06083"	14	431249	Unreliable
	"Santa Clara County, CA"	"06085"	45	1837504	2.45
	"Santa Cruz County, CA"	"06087"	26	266776	9.75
	"Shasta County, CA"	"06089"	24	178586	13.44
	"Sonoma County, CA"	"06097"	26	491829	5.29
	"Stanislaus County, CA"	"06099"	13	521726	Unreliable
