"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	21	212628	9.88
	"Cullman County, AL"	"01043"	11	82755	Unreliable
	"DeKalb County, AL"	"01049"	11	71617	Unreliable
	"Etowah County, AL"	"01055"	27	102755	26.28
	"Jefferson County, AL"	"01073"	162	659197	24.58
	"Madison County, AL"	"01089"	20	361046	5.54
	"Mobile County, AL"	"01097"	14	413955	Unreliable
	"St. Clair County, AL"	"01115"	15	88199	Unreliable
	"Shelby County, AL"	"01117"	27	213605	12.64
	"Tuscaloosa County, AL"	"01125"	14	207811	Unreliable
	"Anchorage Borough, AK"	"02020"	51	294356	17.33
	"Matanuska-Susitna Borough, AK"	"02170"	17	106532	Unreliable
	"Cochise County, AZ"	"04003"	17	124756	Unreliable
	"Coconino County, AZ"	"04005"	10	140776	Unreliable
	"Maricopa County, AZ"	"04013"	611	4307033	14.19
	"Mohave County, AZ"	"04015"	32	207200	15.44
	"Pima County, AZ"	"04019"	174	1022769	17.01
	"Pinal County, AZ"	"04021"	35	430237	8.14
	"Yavapai County, AZ"	"04025"	22	228168	9.64
	"Benton County, AR"	"05007"	16	266300	Unreliable
	"Garland County, AR"	"05051"	18	98658	Unreliable
	"Pulaski County, AR"	"05119"	29	393956	7.36
	"Saline County, AR"	"05125"	12	119323	Unreliable
	"Washington County, AR"	"05143"	10	231996	Unreliable
	"Alameda County, CA"	"06001"	37	1663190	2.22
	"Butte County, CA"	"06007"	16	229294	Unreliable
	"Contra Costa County, CA"	"06013"	52	1147439	4.53
	"Fresno County, CA"	"06019"	46	989255	4.65
	"Humboldt County, CA"	"06023"	28	136754	20.47
	"Kern County, CA"	"06029"	75	893119	8.40
	"Lake County, CA"	"06033"	13	64246	Unreliable
	"Los Angeles County, CA"	"06037"	454	10163507	4.47
	"Marin County, CA"	"06041"	15	260955	Unreliable
	"Mendocino County, CA"	"06045"	17	88018	Unreliable
	"Merced County, CA"	"06047"	13	272673	Unreliable
	"Orange County, CA"	"06059"	254	3190400	7.96
	"Placer County, CA"	"06061"	18	386166	Unreliable
	"Riverside County, CA"	"06065"	139	2423266	5.74
	"Sacramento County, CA"	"06067"	61	1530615	3.99
	"San Bernardino County, CA"	"06071"	57	2157404	2.64
	"San Diego County, CA"	"06073"	285	3337685	8.54
	"San Francisco County, CA"	"06075"	98	884363	11.08
	"San Joaquin County, CA"	"06077"	69	745424	9.26
	"San Luis Obispo County, CA"	"06079"	21	283405	7.41
	"San Mateo County, CA"	"06081"	40	771410	5.19
	"Santa Barbara County, CA"	"06083"	32	448150	7.14
	"Santa Clara County, CA"	"06085"	68	1938153	3.51
	"Santa Cruz County, CA"	"06087"	18	275897	Unreliable
	"Shasta County, CA"	"06089"	24	179921	13.34
	"Solano County, CA"	"06095"	10	445458	Unreliable
	"Sonoma County, CA"	"06097"	30	504217	5.95
	"Stanislaus County, CA"	"06099"	18	547899	Unreliable
	"Tulare County, CA"	"06107"	11	464493	Unreliable
	"Ventura County, CA"	"06111"	86	854223	10.07
	"Adams County, CO"	"08001"	76	503167	15.10
	"Arapahoe County, CO"	"08005"	50	643052	7.78
	"Boulder County, CO"	"08013"	27	322514	8.37
	"Denver County, CO"	"08031"	101	704621	14.33
	"El Paso County, CO"	"08041"	108	699232	15.45
	"Jefferson County, CO"	"08059"	33	574613	5.74
	"Larimer County, CO"	"08069"	26	343976	7.56
	"Mesa County, CO"	"08077"	33	151616	21.77
	"Pueblo County, CO"	"08101"	31	166475	18.62
	"Weld County, CO"	"08123"	15	304633	Unreliable
	"Fairfield County, CT"	"09001"	155	949921	16.32
	"Hartford County, CT"	"09003"	281	895388	31.38
	"Litchfield County, CT"	"09005"	52	182177	28.54
	"Middlesex County, CT"	"09007"	43	163410	26.31
	"New Haven County, CT"	"09009"	260	860435	30.22
	"New London County, CT"	"09011"	81	269033	30.11
	"Tolland County, CT"	"09013"	41	151461	27.07
