"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	14	175827	Unreliable
	"Jefferson County, AL"	"01073"	38	656510	5.79
	"Mobile County, AL"	"01097"	27	409196	6.60
	"Shelby County, AL"	"01117"	20	188534	10.61
	"Tuscaloosa County, AL"	"01125"	15	188093	Unreliable
	"Anchorage Borough, AK"	"02020"	40	281554	14.21
	"Matanuska-Susitna Borough, AK"	"02170"	16	84079	Unreliable
	"Coconino County, AZ"	"04005"	11	131853	Unreliable
	"Maricopa County, AZ"	"04013"	289	3771061	7.66
	"Mohave County, AZ"	"04015"	24	200078	12.00
	"Pima County, AZ"	"04019"	84	967778	8.68
	"Pinal County, AZ"	"04021"	21	335311	6.26
	"Yavapai County, AZ"	"04025"	32	211211	15.15
	"Benton County, AR"	"05007"	18	210807	Unreliable
	"Craighead County, AR"	"05031"	11	93316	Unreliable
	"Crawford County, AR"	"05033"	10	60933	Unreliable
	"Garland County, AR"	"05051"	16	95636	Unreliable
	"Pulaski County, AR"	"05119"	17	376567	Unreliable
	"Saline County, AR"	"05125"	12	102599	Unreliable
	"Alameda County, CA"	"06001"	23	1477208	1.56
	"Butte County, CA"	"06007"	12	219034	Unreliable
	"Contra Costa County, CA"	"06013"	59	1023344	5.77
	"El Dorado County, CA"	"06017"	18	179150	Unreliable
	"Fresno County, CA"	"06019"	60	909630	6.60
	"Humboldt County, CA"	"06023"	26	132657	19.60
	"Kern County, CA"	"06029"	61	818327	7.45
	"Lake County, CA"	"06033"	13	64392	Unreliable
	"Los Angeles County, CA"	"06037"	238	9735147	2.44
	"Marin County, CA"	"06041"	24	248398	9.66
	"Merced County, CA"	"06047"	10	250538	Unreliable
	"Monterey County, CA"	"06053"	21	406022	5.17
	"Orange County, CA"	"06059"	251	2957593	8.49
	"Riverside County, CA"	"06065"	112	2109712	5.31
	"Sacramento County, CA"	"06067"	94	1394438	6.74
	"San Bernardino County, CA"	"06071"	53	2003735	2.65
	"San Diego County, CA"	"06073"	243	3022116	8.04
	"San Francisco County, CA"	"06075"	15	791152	Unreliable
	"San Joaquin County, CA"	"06077"	65	671692	9.68
	"San Luis Obispo County, CA"	"06079"	13	266358	Unreliable
	"San Mateo County, CA"	"06081"	17	703830	Unreliable
	"Santa Barbara County, CA"	"06083"	11	415859	Unreliable
	"Santa Clara County, CA"	"06085"	42	1740964	2.41
	"Santa Cruz County, CA"	"06087"	23	256520	8.97
	"Shasta County, CA"	"06089"	27	177247	15.23
	"Solano County, CA"	"06095"	15	408972	Unreliable
	"Sonoma County, CA"	"06097"	53	473091	11.20
	"Stanislaus County, CA"	"06099"	36	509032	7.07
	"Ventura County, CA"	"06111"	59	806353	7.32
	"Adams County, CO"	"08001"	38	424913	8.94
	"Arapahoe County, CO"	"08005"	35	552461	6.34
	"Boulder County, CO"	"08013"	28	290859	9.63
	"Denver County, CO"	"08031"	114	575721	19.80
	"El Paso County, CO"	"08041"	28	597919	4.68
	"Jefferson County, CO"	"08059"	32	529003	6.05
	"Larimer County, CO"	"08069"	24	291650	8.23
	"Pueblo County, CO"	"08101"	11	156748	Unreliable
	"Weld County, CO"	"08123"	10	243442	Unreliable
	"Fairfield County, CT"	"09001"	53	903824	5.86
	"Hartford County, CT"	"09003"	55	887891	6.19
	"Litchfield County, CT"	"09005"	13	190175	Unreliable
	"Middlesex County, CT"	"09007"	15	164962	Unreliable
	"New Haven County, CT"	"09009"	66	856622	7.70
	"New London County, CT"	"09011"	16	272634	Unreliable
	"Kent County, DE"	"10001"	12	157925	Unreliable
	"New Castle County, DE"	"10003"	28	533958	5.24
	"Sussex County, DE"	"10005"	25	191991	13.02
	"District of Columbia, DC"	"11001"	31	580236	5.34
	"Bay County, FL"	"12005"	21	166267	12.63
	"Brevard County, FL"	"12009"	28	542378	5.16
	"Broward County, FL"	"12011"	168	1723633	9.75
	"Clay County, FL"	"12019"	12	187289	Unreliable
	"Collier County, FL"	"12021"	31	316641	9.79
	"Duval County, FL"	"12031"	41	855437	4.79
	"Escambia County, FL"	"12033"	28	296854	9.43
	"Hernando County, FL"	"12053"	22	172437	12.76
	"Hillsborough County, FL"	"12057"	194	1196773	16.21
	"Indian River County, FL"	"12061"	20	136277	14.68
	"Lake County, FL"	"12069"	12	293654	Unreliable
	"Lee County, FL"	"12071"	59	610984	9.66
	"Manatee County, FL"	"12081"	34	318766	10.67
	"Marion County, FL"	"12083"	16	330052	Unreliable
	"Martin County, FL"	"12085"	19	144369	Unreliable
	"Miami-Dade County, FL"	"12086"	79	2436062	3.24
	"Nassau County, FL"	"12089"	10	71557	Unreliable
	"Okaloosa County, FL"	"12091"	13	181752	Unreliable
	"Orange County, FL"	"12095"	88	1115525	7.89
	"Osceola County, FL"	"12097"	16	261746	Unreliable
	"Palm Beach County, FL"	"12099"	89	1294938	6.87
	"Pasco County, FL"	"12101"	46	461313	9.97
	"Pinellas County, FL"	"12103"	66	916458	7.20
	"Polk County, FL"	"12105"	22	594801	3.70
	"St. Lucie County, FL"	"12111"	28	273151	10.25
	"Santa Rosa County, FL"	"12113"	19	148538	Unreliable
	"Sarasota County, FL"	"12115"	66	377178	17.50
	"Seminole County, FL"	"12117"	42	416564	10.08
	"Volusia County, FL"	"12127"	74	497366	14.88
	"Carroll County, GA"	"13045"	17	110242	Unreliable
	"Clayton County, GA"	"13063"	10	262099	Unreliable
	"Cobb County, GA"	"13067"	21	679822	3.09
	"DeKalb County, GA"	"13089"	18	685646	Unreliable
	"Fulton County, GA"	"13121"	63	888694	7.09
	"Gwinnett County, GA"	"13135"	23	780721	2.95
	"Whitfield County, GA"	"13313"	10	100546	Unreliable
	"Hawaii County, HI"	"15001"	10	181506	Unreliable
	"Honolulu County, HI"	"15003"	39	933680	4.18
	"Ada County, ID"	"16001"	32	382618	8.36
	"Kootenai County, ID"	"16055"	13	135627	Unreliable
	"Champaign County, IL"	"17019"	11	197570	Unreliable
	"Cook County, IL"	"17031"	378	5161831	7.32
	"DuPage County, IL"	"17043"	60	909798	6.59
	"Grundy County, IL"	"17063"	10	49166	Unreliable
	"Kane County, IL"	"17089"	19	504437	Unreliable
	"Kankakee County, IL"	"17091"	13	112658	Unreliable
	"Lake County, IL"	"17097"	62	697369	8.89
	"LaSalle County, IL"	"17099"	15	114171	Unreliable
	"McHenry County, IL"	"17111"	13	307246	Unreliable
	"McLean County, IL"	"17113"	12	166825	Unreliable
	"Madison County, IL"	"17119"	26	268232	9.69
	"Peoria County, IL"	"17143"	20	184803	10.82
	"St. Clair County, IL"	"17163"	13	266518	Unreliable
	"Will County, IL"	"17197"	43	671392	6.40
	"Winnebago County, IL"	"17201"	26	295726	8.79
	"Elkhart County, IN"	"18039"	11	197762	Unreliable
	"Lake County, IN"	"18089"	21	495479	4.24
	"Lawrence County, IN"	"18093"	10	46233	Unreliable
	"Marion County, IN"	"18097"	69	889504	7.76
	"Porter County, IN"	"18127"	11	162538	Unreliable
	"St. Joseph County, IN"	"18141"	10	267282	Unreliable
	"Vanderburgh County, IN"	"18163"	25	178053	14.04
	"Polk County, IA"	"19153"	29	419495	6.91
	"Scott County, IA"	"19163"	10	161824	Unreliable
	"Johnson County, KS"	"20091"	28	532175	5.26
	"Sedgwick County, KS"	"20173"	21	486077	4.32
	"Bell County, KY"	"21013"	10	28836	Unreliable
	"Boone County, KY"	"21015"	10	115262	Unreliable
	"Boyd County, KY"	"21019"	19	49244	Unreliable
	"Fayette County, KY"	"21067"	20	287683	6.95
	"Jefferson County, KY"	"21111"	18	730194	Unreliable
	"Jessamine County, KY"	"21113"	12	47429	Unreliable
	"Kenton County, KY"	"21117"	21	158258	13.27
	"Knox County, KY"	"21121"	13	31746	Unreliable
	"Montgomery County, KY"	"21173"	11	25981	Unreliable
	"Pike County, KY"	"21195"	21	65275	32.17
	"Jefferson Parish, LA"	"22051"	26	431759	6.02
	"St. Tammany Parish, LA"	"22103"	27	229252	11.78
	"Cumberland County, ME"	"23005"	28	280681	9.98
	"Kennebec County, ME"	"23011"	11	122147	Unreliable
	"Penobscot County, ME"	"23019"	13	153372	Unreliable
	"York County, ME"	"23031"	17	197650	Unreliable
	"Anne Arundel County, MD"	"24003"	59	525304	11.23
	"Baltimore County, MD"	"24005"	105	798651	13.15
	"Carroll County, MD"	"24013"	15	167433	Unreliable
	"Cecil County, MD"	"24015"	11	100232	Unreliable
	"Charles County, MD"	"24017"	13	143783	Unreliable
	"Frederick County, MD"	"24021"	10	229286	Unreliable
	"Harford County, MD"	"24025"	34	242779	14.00
	"Montgomery County, MD"	"24031"	32	942748	3.39
	"Prince George's County, MD"	"24033"	28	850167	3.29
	"Washington County, MD"	"24043"	18	146674	Unreliable
	"Baltimore city, MD"	"24510"	128	620184	20.64
	"Barnstable County, MA"	"25001"	22	217066	10.14
	"Bristol County, MA"	"25005"	82	546456	15.01
	"Essex County, MA"	"25009"	60	734361	8.17
	"Hampden County, MA"	"25013"	41	462053	8.87
	"Hampshire County, MA"	"25015"	11	157615	Unreliable
	"Middlesex County, MA"	"25017"	110	1477049	7.45
	"Norfolk County, MA"	"25021"	70	661703	10.58
	"Plymouth County, MA"	"25023"	46	490371	9.38
	"Suffolk County, MA"	"25025"	71	702201	10.11
	"Worcester County, MA"	"25027"	77	790847	9.74
	"Allegan County, MI"	"26005"	11	111589	Unreliable
	"Bay County, MI"	"26017"	11	108320	Unreliable
	"Genesee County, MI"	"26049"	63	433082	14.55
	"Ingham County, MI"	"26065"	19	281315	Unreliable
	"Kalamazoo County, MI"	"26077"	13	246862	Unreliable
	"Kent County, MI"	"26081"	37	599234	6.17
	"Livingston County, MI"	"26093"	23	181171	12.70
	"Macomb County, MI"	"26099"	110	837857	13.13
	"Muskegon County, MI"	"26121"	18	173846	Unreliable
	"Ottawa County, MI"	"26139"	17	261906	Unreliable
	"St. Clair County, MI"	"26147"	13	165959	Unreliable
	"Shiawassee County, MI"	"26155"	15	71523	Unreliable
	"Washtenaw County, MI"	"26161"	23	341595	6.73
	"Wayne County, MI"	"26163"	145	1865058	7.77
	"Anoka County, MN"	"27003"	15	327427	Unreliable
	"Dakota County, MN"	"27037"	23	393900	5.84
	"Hennepin County, MN"	"27053"	80	1135173	7.05
	"Ramsey County, MN"	"27123"	24	502890	4.77
	"St. Louis County, MN"	"27137"	10	199745	Unreliable
	"Cass County, MO"	"29037"	10	98095	Unreliable
	"Clay County, MO"	"29047"	17	215142	Unreliable
	"Franklin County, MO"	"29071"	17	101149	Unreliable
	"Greene County, MO"	"29077"	46	270901	16.98
	"Jackson County, MO"	"29095"	49	665427	7.36
	"Jefferson County, MO"	"29099"	25	216409	11.55
	"St. Charles County, MO"	"29183"	28	351179	7.97
	"St. Louis County, MO"	"29189"	90	998331	9.02
	"St. Louis city, MO"	"29510"	42	317955	13.21
	"Missoula County, MT"	"30063"	12	107747	Unreliable
	"Douglas County, NE"	"31055"	17	504547	Unreliable
	"Clark County, NV"	"32003"	288	1912349	15.06
	"Nye County, NV"	"32023"	10	44367	Unreliable
	"Washoe County, NV"	"32031"	72	414793	17.36
	"Belknap County, NH"	"33001"	10	60239	Unreliable
	"Hillsborough County, NH"	"33011"	29	399556	7.26
	"Merrimack County, NH"	"33013"	13	147170	Unreliable
	"Rockingham County, NH"	"33015"	23	294996	7.80
	"Atlantic County, NJ"	"34001"	26	273014	9.52
	"Bergen County, NJ"	"34003"	33	895328	3.69
	"Burlington County, NJ"	"34005"	18	446831	Unreliable
	"Essex County, NJ"	"34013"	32	778165	4.11
	"Hudson County, NJ"	"34017"	24	619533	3.87
	"Mercer County, NJ"	"34021"	10	364119	Unreliable
	"Middlesex County, NJ"	"34023"	38	799191	4.75
	"Monmouth County, NJ"	"34025"	23	627348	3.67
