"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	10	182265	Unreliable
	"Jefferson County, AL"	"01073"	42	658466	6.38
	"Mobile County, AL"	"01097"	14	412992	Unreliable
	"Shelby County, AL"	"01117"	16	195085	Unreliable
	"Walker County, AL"	"01127"	20	67023	29.84
	"Anchorage Borough, AK"	"02020"	26	291826	8.91
	"Cochise County, AZ"	"04003"	13	131346	Unreliable
	"Maricopa County, AZ"	"04013"	316	3817117	8.28
	"Mohave County, AZ"	"04015"	51	200186	25.48
	"Navajo County, AZ"	"04017"	13	107449	Unreliable
	"Pima County, AZ"	"04019"	150	980263	15.30
	"Pinal County, AZ"	"04021"	21	375770	5.59
	"Yavapai County, AZ"	"04025"	27	211033	12.79
	"Benton County, AR"	"05007"	16	221339	Unreliable
	"Garland County, AR"	"05051"	16	96024	Unreliable
	"Pulaski County, AR"	"05119"	34	382748	8.88
	"Alameda County, CA"	"06001"	37	1510271	2.45
	"Butte County, CA"	"06007"	17	220000	Unreliable
	"Contra Costa County, CA"	"06013"	33	1049025	3.15
	"El Dorado County, CA"	"06017"	14	181058	Unreliable
	"Fresno County, CA"	"06019"	74	930450	7.95
	"Humboldt County, CA"	"06023"	23	134623	17.08
	"Kern County, CA"	"06029"	43	839631	5.12
	"Kings County, CA"	"06031"	10	152982	Unreliable
	"Lake County, CA"	"06033"	18	64665	Unreliable
	"Lassen County, CA"	"06035"	12	34895	Unreliable
	"Los Angeles County, CA"	"06037"	255	9818605	2.60
	"Madera County, CA"	"06039"	11	150865	Unreliable
	"Marin County, CA"	"06041"	24	252409	9.51
	"Merced County, CA"	"06047"	10	255793	Unreliable
	"Monterey County, CA"	"06053"	19	415057	Unreliable
	"Orange County, CA"	"06059"	220	3010232	7.31
	"Placer County, CA"	"06061"	10	348432	Unreliable
	"Riverside County, CA"	"06065"	118	2189641	5.39
	"Sacramento County, CA"	"06067"	90	1418788	6.34
	"San Bernardino County, CA"	"06071"	65	2035210	3.19
	"San Diego County, CA"	"06073"	240	3095313	7.75
	"San Francisco County, CA"	"06075"	105	805235	13.04
	"San Joaquin County, CA"	"06077"	74	685306	10.80
	"San Luis Obispo County, CA"	"06079"	25	269637	9.27
	"San Mateo County, CA"	"06081"	17	718451	Unreliable
	"Santa Barbara County, CA"	"06083"	10	423895	Unreliable
	"Santa Clara County, CA"	"06085"	43	1781642	2.41
	"Santa Cruz County, CA"	"06087"	28	262382	10.67
	"Shasta County, CA"	"06089"	24	177223	13.54
	"Solano County, CA"	"06095"	20	413344	4.84
	"Sonoma County, CA"	"06097"	47	483878	9.71
	"Stanislaus County, CA"	"06099"	16	514453	Unreliable
	"Tulare County, CA"	"06107"	11	442179	Unreliable
	"Tuolumne County, CA"	"06109"	14	55365	Unreliable
	"Ventura County, CA"	"06111"	70	823318	8.50
	"Adams County, CO"	"08001"	25	441603	5.66
	"Arapahoe County, CO"	"08005"	16	572003	Unreliable
	"Boulder County, CO"	"08013"	19	294567	Unreliable
	"Denver County, CO"	"08031"	76	600158	12.66
	"Douglas County, CO"	"08035"	13	285465	Unreliable
	"El Paso County, CO"	"08041"	32	622263	5.14
	"Jefferson County, CO"	"08059"	32	534543	5.99
	"Larimer County, CO"	"08069"	23	299630	7.68
	"Pueblo County, CO"	"08101"	18	159063	Unreliable
	"Weld County, CO"	"08123"	20	252825	7.91
	"Fairfield County, CT"	"09001"	33	916829	3.60
	"Hartford County, CT"	"09003"	52	894014	5.82
	"Litchfield County, CT"	"09005"	16	189927	Unreliable
	"Middlesex County, CT"	"09007"	16	165676	Unreliable
	"New Haven County, CT"	"09009"	71	862477	8.23
	"New London County, CT"	"09011"	21	274055	7.66
	"Windham County, CT"	"09015"	10	118428	Unreliable
	"Kent County, DE"	"10001"	17	162310	Unreliable
	"New Castle County, DE"	"10003"	58	538479	10.77
	"Sussex County, DE"	"10005"	28	197145	14.20
	"District of Columbia, DC"	"11001"	34	601723	5.65
	"Alachua County, FL"	"12001"	17	247336	Unreliable
	"Bay County, FL"	"12005"	19	168852	Unreliable
	"Brevard County, FL"	"12009"	30	543376	5.52
	"Broward County, FL"	"12011"	127	1748066	7.27
	"Citrus County, FL"	"12017"	16	141236	Unreliable
	"Clay County, FL"	"12019"	12	190865	Unreliable
	"Collier County, FL"	"12021"	41	321520	12.75
	"Duval County, FL"	"12031"	60	864263	6.94
	"Escambia County, FL"	"12033"	21	297619	7.06
	"Hernando County, FL"	"12053"	23	172778	13.31
	"Hillsborough County, FL"	"12057"	212	1229226	17.25
	"Lake County, FL"	"12069"	14	297052	Unreliable
	"Lee County, FL"	"12071"	84	618754	13.58
	"Manatee County, FL"	"12081"	69	322833	21.37
	"Marion County, FL"	"12083"	25	331298	7.55
	"Martin County, FL"	"12085"	11	146318	Unreliable
	"Miami-Dade County, FL"	"12086"	59	2496435	2.36
	"Okaloosa County, FL"	"12091"	13	180822	Unreliable
	"Orange County, FL"	"12095"	122	1145956	10.65
	"Osceola County, FL"	"12097"	24	268685	8.93
	"Palm Beach County, FL"	"12099"	104	1320134	7.88
	"Pasco County, FL"	"12101"	71	464697	15.28
	"Pinellas County, FL"	"12103"	93	916542	10.15
	"Polk County, FL"	"12105"	17	602095	Unreliable
	"Putnam County, FL"	"12107"	16	74364	Unreliable
	"St. Johns County, FL"	"12109"	15	190039	Unreliable
	"St. Lucie County, FL"	"12111"	21	277789	7.56
	"Santa Rosa County, FL"	"12113"	20	151372	13.21
	"Sarasota County, FL"	"12115"	66	379448	17.39
	"Seminole County, FL"	"12117"	56	422718	13.25
	"Volusia County, FL"	"12127"	103	494593	20.83
	"Bartow County, GA"	"13015"	11	100157	Unreliable
	"Carroll County, GA"	"13045"	10	110527	Unreliable
	"Cherokee County, GA"	"13057"	17	214346	Unreliable
	"Clayton County, GA"	"13063"	14	259424	Unreliable
	"Cobb County, GA"	"13067"	14	688078	Unreliable
	"Columbia County, GA"	"13073"	10	124053	Unreliable
	"DeKalb County, GA"	"13089"	19	691893	Unreliable
	"Forsyth County, GA"	"13117"	11	175511	Unreliable
	"Fulton County, GA"	"13121"	50	920581	5.43
	"Gwinnett County, GA"	"13135"	41	805321	5.09
	"Hall County, GA"	"13139"	14	179684	Unreliable
	"Muscogee County, GA"	"13215"	14	189885	Unreliable
	"Paulding County, GA"	"13223"	18	142324	Unreliable
	"Richmond County, GA"	"13245"	19	200549	Unreliable
	"Honolulu County, HI"	"15003"	61	953207	6.40
	"Ada County, ID"	"16001"	28	392365	7.14
	"Twin Falls County, ID"	"16083"	10	77230	Unreliable
	"Champaign County, IL"	"17019"	11	201081	Unreliable
	"Cook County, IL"	"17031"	358	5194675	6.89
	"DuPage County, IL"	"17043"	55	916924	6.00
	"Kane County, IL"	"17089"	14	515269	Unreliable
	"Kankakee County, IL"	"17091"	10	113449	Unreliable
	"Lake County, IL"	"17097"	78	703462	11.09
	"LaSalle County, IL"	"17099"	20	113924	17.56
	"McHenry County, IL"	"17111"	18	308760	Unreliable
	"McLean County, IL"	"17113"	13	169572	Unreliable
	"Madison County, IL"	"17119"	48	269282	17.83
	"Peoria County, IL"	"17143"	14	186494	Unreliable
	"Tazewell County, IL"	"17179"	12	135394	Unreliable
	"Vermilion County, IL"	"17183"	11	81625	Unreliable
	"Will County, IL"	"17197"	44	677560	6.49
	"Winnebago County, IL"	"17201"	29	295266	9.82
	"Delaware County, IN"	"18035"	12	117671	Unreliable
	"Floyd County, IN"	"18043"	10	74578	Unreliable
	"Lake County, IN"	"18089"	12	496005	Unreliable
	"Madison County, IN"	"18095"	23	131636	17.47
	"Marion County, IN"	"18097"	57	903393	6.31
	"Porter County, IN"	"18127"	24	164343	14.60
	"St. Joseph County, IN"	"18141"	11	266931	Unreliable
	"Vanderburgh County, IN"	"18163"	32	179703	17.81
	"Linn County, IA"	"19113"	13	211226	Unreliable
	"Polk County, IA"	"19153"	29	430640	6.73
	"Scott County, IA"	"19163"	11	165224	Unreliable
	"Johnson County, KS"	"20091"	24	544179	4.41
	"Sedgwick County, KS"	"20173"	15	498365	Unreliable
	"Shawnee County, KS"	"20177"	10	177934	Unreliable
	"Bell County, KY"	"21013"	20	28691	69.71
	"Boone County, KY"	"21015"	16	118811	Unreliable
	"Boyd County, KY"	"21019"	19	49542	Unreliable
	"Campbell County, KY"	"21037"	18	90336	Unreliable
	"Carter County, KY"	"21043"	12	27720	Unreliable
	"Clay County, KY"	"21051"	13	21730	Unreliable
	"Fayette County, KY"	"21067"	43	295803	14.54
	"Floyd County, KY"	"21071"	32	39451	81.11
	"Greenup County, KY"	"21089"	13	36910	Unreliable
	"Harlan County, KY"	"21095"	13	29278	Unreliable
	"Jefferson County, KY"	"21111"	40	741096	5.40
	"Johnson County, KY"	"21115"	18	23356	Unreliable
	"Kenton County, KY"	"21117"	38	159720	23.79
	"Knox County, KY"	"21121"	10	31883	Unreliable
	"Letcher County, KY"	"21133"	12	24519	Unreliable
	"Pike County, KY"	"21195"	25	65024	38.45
	"Powell County, KY"	"21197"	15	12613	Unreliable
	"Whitley County, KY"	"21235"	10	35637	Unreliable
	"Jefferson Parish, LA"	"22051"	19	432552	Unreliable
	"St. Tammany Parish, LA"	"22103"	35	233740	14.97
	"Androscoggin County, ME"	"23001"	12	107702	Unreliable
	"Cumberland County, ME"	"23005"	14	281674	Unreliable
	"Kennebec County, ME"	"23011"	12	122151	Unreliable
	"York County, ME"	"23031"	16	197131	Unreliable
	"Allegany County, MD"	"24001"	11	75087	Unreliable
	"Anne Arundel County, MD"	"24003"	51	537656	9.49
	"Baltimore County, MD"	"24005"	106	805029	13.17
	"Carroll County, MD"	"24013"	14	167134	Unreliable
	"Cecil County, MD"	"24015"	26	101108	25.72
	"Charles County, MD"	"24017"	10	146551	Unreliable
	"Frederick County, MD"	"24021"	10	233385	Unreliable
	"Harford County, MD"	"24025"	32	244826	13.07
	"Montgomery County, MD"	"24031"	19	971777	Unreliable
