"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	18	223234	Unreliable
	"Etowah County, AL"	"01055"	14	102268	Unreliable
	"Jefferson County, AL"	"01073"	143	658573	21.71
	"Madison County, AL"	"01089"	33	372909	8.85
	"Mobile County, AL"	"01097"	21	413210	5.08
	"St. Clair County, AL"	"01115"	16	89512	Unreliable
	"Shelby County, AL"	"01117"	22	217702	10.11
	"Tuscaloosa County, AL"	"01125"	17	209355	Unreliable
	"Anchorage Borough, AK"	"02020"	35	288000	12.15
	"Matanuska-Susitna Borough, AK"	"02170"	14	108317	Unreliable
	"Cochise County, AZ"	"04003"	16	125922	Unreliable
	"Coconino County, AZ"	"04005"	11	143476	Unreliable
	"Maricopa County, AZ"	"04013"	899	4485414	20.04
	"Mohave County, AZ"	"04015"	32	212181	15.08
	"Navajo County, AZ"	"04017"	10	110924	Unreliable
	"Pima County, AZ"	"04019"	200	1047279	19.10
	"Pinal County, AZ"	"04021"	51	462789	11.02
	"Yavapai County, AZ"	"04025"	51	235099	21.69
	"Benton County, AR"	"05007"	15	279141	Unreliable
	"Pulaski County, AR"	"05119"	49	391911	12.50
	"Saline County, AR"	"05125"	18	122437	Unreliable
	"White County, AR"	"05145"	10	78753	Unreliable
	"Alameda County, CA"	"06001"	103	1671329	6.16
	"Butte County, CA"	"06007"	12	219186	Unreliable
	"Contra Costa County, CA"	"06013"	90	1153526	7.80
	"El Dorado County, CA"	"06017"	10	192843	Unreliable
	"Fresno County, CA"	"06019"	48	999101	4.80
	"Humboldt County, CA"	"06023"	24	135558	17.70
	"Imperial County, CA"	"06025"	12	181215	Unreliable
	"Kern County, CA"	"06029"	117	900202	13.00
	"Lake County, CA"	"06033"	23	64386	35.72
	"Los Angeles County, CA"	"06037"	715	10039107	7.12
	"Madera County, CA"	"06039"	13	157327	Unreliable
	"Marin County, CA"	"06041"	22	258826	8.50
	"Mendocino County, CA"	"06045"	18	86749	Unreliable
	"Merced County, CA"	"06047"	20	277680	7.20
	"Monterey County, CA"	"06053"	20	434061	4.61
	"Nevada County, CA"	"06057"	10	99755	Unreliable
	"Orange County, CA"	"06059"	272	3175692	8.57
	"Placer County, CA"	"06061"	30	398329	7.53
	"Riverside County, CA"	"06065"	244	2470546	9.88
	"Sacramento County, CA"	"06067"	118	1552058	7.60
	"San Bernardino County, CA"	"06071"	123	2180085	5.64
	"San Diego County, CA"	"06073"	314	3338330	9.41
	"San Francisco County, CA"	"06075"	279	881549	31.65
	"San Joaquin County, CA"	"06077"	39	762148	5.12
	"San Luis Obispo County, CA"	"06079"	21	283111	7.42
	"San Mateo County, CA"	"06081"	65	766573	8.48
	"Santa Barbara County, CA"	"06083"	26	446499	5.82
	"Santa Clara County, CA"	"06085"	88	1927852	4.56
	"Santa Cruz County, CA"	"06087"	29	273213	10.61
	"Shasta County, CA"	"06089"	18	180080	Unreliable
	"Solano County, CA"	"06095"	34	447643	7.60
	"Sonoma County, CA"	"06097"	65	494336	13.15
	"Stanislaus County, CA"	"06099"	46	550660	8.35
	"Tulare County, CA"	"06107"	12	466195	Unreliable
	"Ventura County, CA"	"06111"	89	846006	10.52
	"Adams County, CO"	"08001"	59	517421	11.40
	"Arapahoe County, CO"	"08005"	79	656590	12.03
	"Boulder County, CO"	"08013"	32	326196	9.81
	"Denver County, CO"	"08031"	121	727211	16.64
	"El Paso County, CO"	"08041"	95	720403	13.19
	"Jefferson County, CO"	"08059"	54	582881	9.26
	"Larimer County, CO"	"08069"	36	356899	10.09
	"Mesa County, CO"	"08077"	15	154210	Unreliable
	"Pueblo County, CO"	"08101"	24	168424	14.25
	"Weld County, CO"	"08123"	28	324492	8.63
	"Fairfield County, CT"	"09001"	167	943332	17.70
	"Hartford County, CT"	"09003"	316	891720	35.44
	"Litchfield County, CT"	"09005"	71	180333	39.37
	"Middlesex County, CT"	"09007"	47	162436	28.93
	"New Haven County, CT"	"09009"	316	854757	36.97
	"New London County, CT"	"09011"	102	265206	38.46
	"Tolland County, CT"	"09013"	29	150721	19.24
	"Windham County, CT"	"09015"	52	116782	44.53
	"Kent County, DE"	"10001"	58	180786	32.08
	"New Castle County, DE"	"10003"	235	558753	42.06
	"Sussex County, DE"	"10005"	94	234225	40.13
	"District of Columbia, DC"	"11001"	243	705749	34.43
	"Alachua County, FL"	"12001"	15	269043	Unreliable
	"Bay County, FL"	"12005"	37	174705	21.18
	"Brevard County, FL"	"12009"	262	601942	43.53
	"Broward County, FL"	"12011"	261	1952778	13.37
	"Charlotte County, FL"	"12015"	13	188910	Unreliable
	"Citrus County, FL"	"12017"	43	149657	28.73
	"Clay County, FL"	"12019"	49	219252	22.35
	"Collier County, FL"	"12021"	67	384902	17.41
	"Duval County, FL"	"12031"	331	957755	34.56
	"Escambia County, FL"	"12033"	59	318316	18.54
	"Flagler County, FL"	"12035"	27	115081	23.46
	"Hernando County, FL"	"12053"	34	193920	17.53
	"Highlands County, FL"	"12055"	10	106221	Unreliable
	"Hillsborough County, FL"	"12057"	215	1471968	14.61
	"Indian River County, FL"	"12061"	10	159923	Unreliable
	"Lake County, FL"	"12069"	67	367118	18.25
	"Lee County, FL"	"12071"	184	770577	23.88
	"Leon County, FL"	"12073"	16	293582	Unreliable
	"Manatee County, FL"	"12081"	101	403253	25.05
	"Marion County, FL"	"12083"	89	365579	24.34
	"Martin County, FL"	"12085"	17	161000	Unreliable
	"Miami-Dade County, FL"	"12086"	230	2716940	8.47
	"Monroe County, FL"	"12087"	19	74228	Unreliable
	"Nassau County, FL"	"12089"	13	88625	Unreliable
	"Okaloosa County, FL"	"12091"	42	210738	19.93
	"Orange County, FL"	"12095"	238	1393452	17.08
	"Osceola County, FL"	"12097"	59	375751	15.70
	"Palm Beach County, FL"	"12099"	391	1496770	26.12
	"Pasco County, FL"	"12101"	120	553947	21.66
	"Pinellas County, FL"	"12103"	235	974996	24.10
	"Polk County, FL"	"12105"	74	724777	10.21
	"St. Johns County, FL"	"12109"	24	264672	9.07
	"St. Lucie County, FL"	"12111"	33	328297	10.05
	"Santa Rosa County, FL"	"12113"	24	184313	13.02
	"Sarasota County, FL"	"12115"	74	433742	17.06
	"Seminole County, FL"	"12117"	59	471826	12.50
	"Sumter County, FL"	"12119"	10	132420	Unreliable
	"Volusia County, FL"	"12127"	133	553284	24.04
	"Bartow County, GA"	"13015"	15	107738	Unreliable
	"Carroll County, GA"	"13045"	21	119992	17.50
	"Catoosa County, GA"	"13047"	10	67580	Unreliable
	"Chatham County, GA"	"13051"	23	289430	7.95
	"Cherokee County, GA"	"13057"	22	258773	8.50
	"Clarke County, GA"	"13059"	13	128331	Unreliable
	"Clayton County, GA"	"13063"	14	292256	Unreliable
	"Cobb County, GA"	"13067"	72	760141	9.47
	"Columbia County, GA"	"13073"	18	156714	Unreliable
	"Coweta County, GA"	"13077"	11	148509	Unreliable
	"DeKalb County, GA"	"13089"	59	759297	7.77
	"Dougherty County, GA"	"13095"	12	87956	Unreliable
	"Douglas County, GA"	"13097"	15	146343	Unreliable
	"Fayette County, GA"	"13113"	16	114421	Unreliable
	"Floyd County, GA"	"13115"	11	98498	Unreliable
	"Forsyth County, GA"	"13117"	22	244252	9.01
	"Fulton County, GA"	"13121"	81	1063937	7.61
	"Gwinnett County, GA"	"13135"	54	936250	5.77
	"Hall County, GA"	"13139"	24	204441	11.74
	"Henry County, GA"	"13151"	19	234561	Unreliable
	"Paulding County, GA"	"13223"	15	168667	Unreliable
	"Richmond County, GA"	"13245"	28	202518	13.83
	"Walton County, GA"	"13297"	14	94593	Unreliable
	"Honolulu County, HI"	"15003"	34	974563	3.49
	"Ada County, ID"	"16001"	46	481587	9.55
	"Bannock County, ID"	"16005"	13	87808	Unreliable
	"Bonneville County, ID"	"16019"	10	119062	Unreliable
	"Canyon County, ID"	"16027"	14	229849	Unreliable
	"Kootenai County, ID"	"16055"	11	165697	Unreliable
	"Twin Falls County, ID"	"16083"	12	86878	Unreliable
	"Champaign County, IL"	"17019"	39	209689	18.60
	"Cook County, IL"	"17031"	1139	5150233	22.12
	"DeKalb County, IL"	"17037"	14	104897	Unreliable
	"DuPage County, IL"	"17043"	111	922921	12.03
	"Grundy County, IL"	"17063"	14	51054	Unreliable
	"Kane County, IL"	"17089"	62	532403	11.65
	"Kankakee County, IL"	"17091"	22	109862	20.03
	"Kendall County, IL"	"17093"	10	128990	Unreliable
	"Lake County, IL"	"17097"	60	696535	8.61
	"LaSalle County, IL"	"17099"	25	108669	23.01
	"McHenry County, IL"	"17111"	37	307774	12.02
	"McLean County, IL"	"17113"	25	171517	14.58
	"Macon County, IL"	"17115"	20	104009	19.23
	"Madison County, IL"	"17119"	82	262966	31.18
	"Marion County, IL"	"17121"	10	37205	Unreliable
	"Peoria County, IL"	"17143"	36	179179	20.09
	"Rock Island County, IL"	"17161"	11	141879	Unreliable
	"St. Clair County, IL"	"17163"	56	259686	21.56
	"Sangamon County, IL"	"17167"	29	194672	14.90
	"Tazewell County, IL"	"17179"	12	131803	Unreliable
	"Vermilion County, IL"	"17183"	15	75758	Unreliable
	"Will County, IL"	"17197"	129	690743	18.68
	"Winnebago County, IL"	"17201"	98	282572	34.68
	"Allen County, IN"	"18003"	96	379299	25.31
	"Bartholomew County, IN"	"18005"	13	83779	Unreliable
	"Boone County, IN"	"18011"	16	67843	Unreliable
	"Clark County, IN"	"18019"	36	118302	30.43
	"Dearborn County, IN"	"18029"	14	49458	Unreliable
	"Delaware County, IN"	"18035"	32	114135	28.04
	"Elkhart County, IN"	"18039"	14	206341	Unreliable
	"Fayette County, IN"	"18041"	18	23102	Unreliable
	"Floyd County, IN"	"18043"	33	78522	42.03
	"Hamilton County, IN"	"18057"	30	338011	8.88
	"Harrison County, IN"	"18061"	12	40515	Unreliable
	"Hendricks County, IN"	"18063"	17	170311	Unreliable
	"Howard County, IN"	"18067"	19	82544	Unreliable
	"Johnson County, IN"	"18081"	19	158167	Unreliable
	"Lake County, IN"	"18089"	124	485493	25.54
	"La Porte County, IN"	"18091"	19	109888	Unreliable
	"Madison County, IN"	"18095"	30	129569	23.15
	"Marion County, IN"	"18097"	294	964582	30.48
	"Monroe County, IN"	"18105"	15	148431	Unreliable
	"Morgan County, IN"	"18109"	12	70489	Unreliable
	"Porter County, IN"	"18127"	33	170389	19.37
	"St. Joseph County, IN"	"18141"	28	271826	10.30
	"Tippecanoe County, IN"	"18157"	26	195732	13.28
	"Vanderburgh County, IN"	"18163"	20	181451	11.02
	"Vigo County, IN"	"18167"	12	107038	Unreliable
	"Wayne County, IN"	"18177"	42	65884	63.75
	"Linn County, IA"	"19113"	18	226706	Unreliable
	"Polk County, IA"	"19153"	52	490161	10.61
	"Scott County, IA"	"19163"	16	172943	Unreliable
	"Johnson County, KS"	"20091"	35	602401	5.81
	"Sedgwick County, KS"	"20173"	62	516042	12.01
	"Shawnee County, KS"	"20177"	12	176875	Unreliable
	"Wyandotte County, KS"	"20209"	10	165429	Unreliable
	"Boone County, KY"	"21015"	25	133581	18.72
	"Boyd County, KY"	"21019"	28	46718	59.93
	"Bullitt County, KY"	"21029"	28	81676	34.28
	"Campbell County, KY"	"21037"	38	93584	40.61
	"Clark County, KY"	"21049"	10	36263	Unreliable
	"Fayette County, KY"	"21067"	90	323152	27.85
	"Franklin County, KY"	"21073"	14	50991	Unreliable
	"Grant County, KY"	"21081"	15	25069	Unreliable
	"Greenup County, KY"	"21089"	22	35098	62.68
	"Hardin County, KY"	"21093"	16	110958	Unreliable
	"Jefferson County, KY"	"21111"	281	766757	36.65
	"Jessamine County, KY"	"21113"	18	54115	Unreliable
	"Kenton County, KY"	"21117"	72	166998	43.11
	"Madison County, KY"	"21151"	41	92987	44.09
	"Nelson County, KY"	"21179"	10	46233	Unreliable
	"Oldham County, KY"	"21185"	13	66799	Unreliable
	"Pike County, KY"	"21195"	12	57876	Unreliable
	"Pulaski County, KY"	"21199"	11	64979	Unreliable
	"Scott County, KY"	"21209"	10	57004	Unreliable
	"Shelby County, KY"	"21211"	14	49024	Unreliable
	"Warren County, KY"	"21227"	15	132896	Unreliable
	"Ascension Parish, LA"	"22005"	16	126604	Unreliable
	"East Baton Rouge Parish, LA"	"22033"	39	440059	8.86
	"Jefferson Parish, LA"	"22051"	127	432493	29.36
	"Lafayette Parish, LA"	"22055"	27	244390	11.05
	"Lafourche Parish, LA"	"22057"	12	97614	Unreliable
	"Livingston Parish, LA"	"22063"	37	140789	26.28
	"Orleans Parish, LA"	"22071"	32	390144	8.20
	"Rapides Parish, LA"	"22079"	17	129648	Unreliable
	"St. Bernard Parish, LA"	"22087"	11	47244	Unreliable
	"St. Tammany Parish, LA"	"22103"	75	260419	28.80
	"Washington Parish, LA"	"22117"	44	46194	95.25
	"Androscoggin County, ME"	"23001"	29	108277	26.78
	"Aroostook County, ME"	"23003"	10	67055	Unreliable
	"Cumberland County, ME"	"23005"	78	295003	26.44
	"Kennebec County, ME"	"23011"	38	122302	31.07
	"Penobscot County, ME"	"23019"	45	152148	29.58
	"Somerset County, ME"	"23025"	14	50484	Unreliable
	"York County, ME"	"23031"	51	207641	24.56
	"Allegany County, MD"	"24001"	18	70416	Unreliable
	"Anne Arundel County, MD"	"24003"	235	579234	40.57
	"Baltimore County, MD"	"24005"	341	827370	41.21
	"Calvert County, MD"	"24009"	29	92525	31.34
	"Caroline County, MD"	"24011"	16	33406	Unreliable
	"Carroll County, MD"	"24013"	64	168447	37.99
	"Cecil County, MD"	"24015"	62	102855	60.28
	"Charles County, MD"	"24017"	37	163257	22.66
	"Dorchester County, MD"	"24019"	13	31929	Unreliable
	"Frederick County, MD"	"24021"	61	259547	23.50
	"Harford County, MD"	"24025"	92	255441	36.02
	"Howard County, MD"	"24027"	38	325690	11.67
	"Montgomery County, MD"	"24031"	116	1050688	11.04
	"Prince George's County, MD"	"24033"	119	909327	13.09
	"Queen Anne's County, MD"	"24035"	17	50381	Unreliable
	"St. Mary's County, MD"	"24037"	31	113510	27.31
	"Talbot County, MD"	"24041"	10	37181	Unreliable
	"Washington County, MD"	"24043"	76	151049	50.31
	"Wicomico County, MD"	"24045"	25	103609	24.13
	"Worcester County, MD"	"24047"	14	52276	Unreliable
	"Baltimore city, MD"	"24510"	669	593490	112.72
	"Barnstable County, MA"	"25001"	72	212990	33.80
	"Berkshire County, MA"	"25003"	39	124944	31.21
	"Bristol County, MA"	"25005"	259	565217	45.82
	"Essex County, MA"	"25009"	273	789034	34.60
	"Franklin County, MA"	"25011"	16	70180	Unreliable
	"Hampden County, MA"	"25013"	197	466372	42.24
	"Hampshire County, MA"	"25015"	39	160830	24.25
	"Middlesex County, MA"	"25017"	299	1611699	18.55
	"Norfolk County, MA"	"25021"	127	706775	17.97
	"Plymouth County, MA"	"25023"	171	521202	32.81
	"Suffolk County, MA"	"25025"	210	803907	26.12
	"Worcester County, MA"	"25027"	262	830622	31.54
	"Bay County, MI"	"26017"	18	103126	Unreliable
	"Berrien County, MI"	"26021"	19	153401	Unreliable
	"Calhoun County, MI"	"26025"	32	134159	23.85
	"Eaton County, MI"	"26045"	12	110268	Unreliable
	"Genesee County, MI"	"26049"	139	405813	34.25
	"Ingham County, MI"	"26065"	79	292406	27.02
	"Kalamazoo County, MI"	"26077"	28	265066	10.56
	"Kent County, MI"	"26081"	85	656955	12.94
	"Lenawee County, MI"	"26091"	18	98451	Unreliable
	"Livingston County, MI"	"26093"	35	191995	18.23
	"Macomb County, MI"	"26099"	214	873972	24.49
	"Monroe County, MI"	"26115"	35	150500	23.26
	"Muskegon County, MI"	"26121"	44	173566	25.35
	"Oakland County, MI"	"26125"	40	1257584	3.18
	"Ottawa County, MI"	"26139"	22	291830	7.54
	"Saginaw County, MI"	"26145"	29	190539	15.22
	"St. Clair County, MI"	"26147"	44	159128	27.65
	"Shiawassee County, MI"	"26155"	12	68122	Unreliable
	"Van Buren County, MI"	"26159"	14	75677	Unreliable
	"Washtenaw County, MI"	"26161"	58	367601	15.78
	"Wayne County, MI"	"26163"	642	1749343	36.70
	"Anoka County, MN"	"27003"	28	356921	7.84
	"Dakota County, MN"	"27037"	23	429021	5.36
	"Hennepin County, MN"	"27053"	161	1265843	12.72
	"Olmsted County, MN"	"27109"	13	158293	Unreliable
	"Ramsey County, MN"	"27123"	33	550321	6.00
	"St. Louis County, MN"	"27137"	25	199070	12.56
	"Scott County, MN"	"27139"	12	149013	Unreliable
	"Washington County, MN"	"27163"	18	262440	Unreliable
	"DeSoto County, MS"	"28033"	28	184945	15.14
	"Hancock County, MS"	"28045"	14	47632	Unreliable
	"Harrison County, MS"	"28047"	28	208080	13.46
	"Hinds County, MS"	"28049"	14	231840	Unreliable
	"Jackson County, MS"	"28059"	22	143617	15.32
	"Pearl River County, MS"	"28109"	13	55535	Unreliable
	"Rankin County, MS"	"28121"	18	155271	Unreliable
	"Boone County, MO"	"29019"	20	180463	11.08
	"Clay County, MO"	"29047"	16	249948	Unreliable
	"Crawford County, MO"	"29055"	10	23920	Unreliable
	"Franklin County, MO"	"29071"	33	103967	31.74
	"Greene County, MO"	"29077"	53	293086	18.08
	"Jackson County, MO"	"29095"	61	703011	8.68
	"Jefferson County, MO"	"29099"	85	225081	37.76
	"Lincoln County, MO"	"29113"	16	59013	Unreliable
	"Phelps County, MO"	"29161"	16	44573	Unreliable
	"Pulaski County, MO"	"29169"	21	52607	39.92
	"St. Charles County, MO"	"29183"	89	402022	22.14
	"St. Francois County, MO"	"29187"	11	67215	Unreliable
	"St. Louis County, MO"	"29189"	292	994205	29.37
	"St. Louis city, MO"	"29510"	221	300576	73.53
	"Yellowstone County, MT"	"30111"	19	161300	Unreliable
	"Douglas County, NE"	"31055"	33	571327	5.78
	"Lancaster County, NE"	"31109"	13	319090	Unreliable
	"Clark County, NV"	"32003"	254	2266715	11.21
	"Lyon County, NV"	"32019"	12	57510	Unreliable
	"Washoe County, NV"	"32031"	79	471519	16.75
	"Belknap County, NH"	"33001"	20	61303	32.62
	"Carroll County, NH"	"33003"	10	48910	Unreliable
	"Cheshire County, NH"	"33005"	17	76085	Unreliable
	"Grafton County, NH"	"33009"	15	89886	Unreliable
	"Hillsborough County, NH"	"33011"	129	417025	30.93
	"Merrimack County, NH"	"33013"	36	151391	23.78
	"Rockingham County, NH"	"33015"	80	309769	25.83
	"Strafford County, NH"	"33017"	48	130633	36.74
	"Atlantic County, NJ"	"34001"	145	263670	54.99
	"Bergen County, NJ"	"34003"	127	932202	13.62
	"Burlington County, NJ"	"34005"	151	445349	33.91
	"Camden County, NJ"	"34007"	267	506471	52.72
	"Cape May County, NJ"	"34009"	47	92039	51.07
	"Cumberland County, NJ"	"34011"	73	149527	48.82
	"Essex County, NJ"	"34013"	290	798975	36.30
	"Gloucester County, NJ"	"34015"	154	291636	52.81
	"Hudson County, NJ"	"34017"	131	672391	19.48
	"Hunterdon County, NJ"	"34019"	17	124371	Unreliable
	"Mercer County, NJ"	"34021"	89	367430	24.22
	"Middlesex County, NJ"	"34023"	190	825062	23.03
	"Monmouth County, NJ"	"34025"	156	618795	25.21
	"Morris County, NJ"	"34027"	89	491845	18.10
	"Ocean County, NJ"	"34029"	188	607186	30.96
	"Passaic County, NJ"	"34031"	115	501826	22.92
	"Salem County, NJ"	"34033"	37	62385	59.31
	"Somerset County, NJ"	"34035"	50	328934	15.20
	"Sussex County, NJ"	"34037"	47	140488	33.45
	"Union County, NJ"	"34039"	120	556341	21.57
	"Warren County, NJ"	"34041"	19	105267	Unreliable
	"Bernalillo County, NM"	"35001"	176	679121	25.92
	"Dona Ana County, NM"	"35013"	21	218195	9.62
	"Rio Arriba County, NM"	"35039"	25	38921	64.23
	"Sandoval County, NM"	"35043"	11	146748	Unreliable
	"San Juan County, NM"	"35045"	16	123958	Unreliable
	"Santa Fe County, NM"	"35049"	46	150358	30.59
	"Valencia County, NM"	"35061"	17	76688	Unreliable
	"Albany County, NY"	"36001"	47	305506	15.38
	"Bronx County, NY"	"36005"	339	1418207	23.90
	"Broome County, NY"	"36007"	34	190488	17.85
	"Cattaraugus County, NY"	"36009"	10	76117	Unreliable
	"Chautauqua County, NY"	"36013"	24	126903	18.91
	"Chemung County, NY"	"36015"	14	83456	Unreliable
	"Dutchess County, NY"	"36027"	68	294218	23.11
	"Erie County, NY"	"36029"	142	918702	15.46
	"Genesee County, NY"	"36037"	12	57280	Unreliable
	"Jefferson County, NY"	"36045"	15	109834	Unreliable
	"Kings County, NY"	"36047"	277	2559903	10.82
	"Monroe County, NY"	"36055"	187	741770	25.21
	"Nassau County, NY"	"36059"	183	1356924	13.49
	"New York County, NY"	"36061"	263	1628706	16.15
	"Niagara County, NY"	"36063"	37	209281	17.68
	"Oneida County, NY"	"36065"	47	228671	20.55
	"Onondaga County, NY"	"36067"	101	460528	21.93
	"Ontario County, NY"	"36069"	16	109777	Unreliable
	"Orange County, NY"	"36071"	80	384940	20.78
	"Oswego County, NY"	"36075"	31	117124	26.47
	"Putnam County, NY"	"36079"	13	98320	Unreliable
	"Queens County, NY"	"36081"	197	2253858	8.74
	"Rensselaer County, NY"	"36083"	22	158714	13.86
	"Richmond County, NY"	"36085"	101	476143	21.21
	"Rockland County, NY"	"36087"	46	325789	14.12
	"Saratoga County, NY"	"36091"	16	229863	Unreliable
	"Schenectady County, NY"	"36093"	28	155299	18.03
	"Suffolk County, NY"	"36103"	275	1476601	18.62
	"Sullivan County, NY"	"36105"	31	75432	41.10
	"Tompkins County, NY"	"36109"	11	102180	Unreliable
	"Ulster County, NY"	"36111"	34	177573	19.15
	"Westchester County, NY"	"36119"	92	967506	9.51
	"Alamance County, NC"	"37001"	27	169509	15.93
	"Beaufort County, NC"	"37013"	12	46994	Unreliable
	"Brunswick County, NC"	"37019"	27	142820	18.90
	"Buncombe County, NC"	"37021"	87	261191	33.31
	"Burke County, NC"	"37023"	24	90485	26.52
	"Cabarrus County, NC"	"37025"	33	216453	15.25
	"Caldwell County, NC"	"37027"	13	82178	Unreliable
	"Carteret County, NC"	"37031"	17	69473	Unreliable
	"Catawba County, NC"	"37035"	17	159551	Unreliable
	"Cleveland County, NC"	"37045"	12	97947	Unreliable
	"Craven County, NC"	"37049"	36	102139	35.25
	"Cumberland County, NC"	"37051"	78	335509	23.25
	"Dare County, NC"	"37055"	14	37009	Unreliable
	"Davidson County, NC"	"37057"	42	167609	25.06
	"Durham County, NC"	"37063"	29	321488	9.02
	"Edgecombe County, NC"	"37065"	12	51472	Unreliable
	"Forsyth County, NC"	"37067"	83	382295	21.71
	"Franklin County, NC"	"37069"	15	69685	Unreliable
	"Gaston County, NC"	"37071"	26	224529	11.58
	"Guilford County, NC"	"37081"	108	537174	20.11
	"Halifax County, NC"	"37083"	13	50010	Unreliable
	"Harnett County, NC"	"37085"	35	135976	25.74
	"Haywood County, NC"	"37087"	15	62317	Unreliable
	"Henderson County, NC"	"37089"	17	117417	Unreliable
	"Iredell County, NC"	"37097"	16	181806	Unreliable
	"Johnston County, NC"	"37101"	34	209339	16.24
