"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	11	186717	Unreliable
	"Jefferson County, AL"	"01073"	40	658931	6.07
	"Madison County, AL"	"01089"	16	340111	Unreliable
	"Mobile County, AL"	"01097"	14	412577	Unreliable
	"Shelby County, AL"	"01117"	10	197936	Unreliable
	"Walker County, AL"	"01127"	20	66661	30.00
	"Anchorage Borough, AK"	"02020"	32	295570	10.83
	"Matanuska-Susitna Borough, AK"	"02170"	14	91946	Unreliable
	"Coconino County, AZ"	"04005"	13	134511	Unreliable
	"Maricopa County, AZ"	"04013"	279	3880244	7.19
	"Mohave County, AZ"	"04015"	47	202351	23.23
	"Pima County, AZ"	"04019"	140	989569	14.15
	"Pinal County, AZ"	"04021"	26	382992	6.79
	"Yavapai County, AZ"	"04025"	31	211888	14.63
	"Benton County, AR"	"05007"	14	227556	Unreliable
	"Crawford County, AR"	"05033"	10	61944	Unreliable
	"Garland County, AR"	"05051"	11	97124	Unreliable
	"Pulaski County, AR"	"05119"	23	386299	5.95
	"Sebastian County, AR"	"05131"	10	127127	Unreliable
	"Alameda County, CA"	"06001"	44	1529875	2.88
	"Butte County, CA"	"06007"	22	220266	9.99
	"Contra Costa County, CA"	"06013"	37	1066096	3.47
	"Fresno County, CA"	"06019"	62	942904	6.58
	"Humboldt County, CA"	"06023"	25	134761	18.55
	"Kern County, CA"	"06029"	43	851710	5.05
	"Lake County, CA"	"06033"	18	64323	Unreliable
	"Lassen County, CA"	"06035"	10	34200	Unreliable
	"Los Angeles County, CA"	"06037"	249	9889056	2.52
	"Madera County, CA"	"06039"	18	152925	Unreliable
	"Monterey County, CA"	"06053"	32	421898	7.58
	"Orange County, CA"	"06059"	230	3055745	7.53
	"Placer County, CA"	"06061"	12	357138	Unreliable
	"Riverside County, CA"	"06065"	108	2239620	4.82
	"Sacramento County, CA"	"06067"	69	1436105	4.80
	"San Bernardino County, CA"	"06071"	61	2065377	2.95
	"San Diego County, CA"	"06073"	278	3140069	8.85
	"San Francisco County, CA"	"06075"	108	812826	13.29
	"San Joaquin County, CA"	"06077"	73	696214	10.49
	"San Luis Obispo County, CA"	"06079"	23	271969	8.46
	"San Mateo County, CA"	"06081"	14	727209	Unreliable
	"Santa Barbara County, CA"	"06083"	12	426878	Unreliable
	"Santa Clara County, CA"	"06085"	62	1809378	3.43
	"Santa Cruz County, CA"	"06087"	43	264298	16.27
	"Shasta County, CA"	"06089"	17	177774	Unreliable
	"Solano County, CA"	"06095"	20	416471	4.80
	"Sonoma County, CA"	"06097"	24	488116	4.92
	"Stanislaus County, CA"	"06099"	18	518522	Unreliable
	"Tulare County, CA"	"06107"	23	449253	5.12
	"Ventura County, CA"	"06111"	86	831771	10.34
	"Adams County, CO"	"08001"	57	451443	12.63
	"Arapahoe County, CO"	"08005"	20	584948	3.42
	"Boulder County, CO"	"08013"	23	299378	7.68
	"Denver County, CO"	"08031"	97	619968	15.65
	"Douglas County, CO"	"08035"	18	292167	Unreliable
	"El Paso County, CO"	"08041"	35	636963	5.49
	"Jefferson County, CO"	"08059"	48	539884	8.89
	"Larimer County, CO"	"08069"	34	305525	11.13
	"Pueblo County, CO"	"08101"	20	160545	12.46
	"Weld County, CO"	"08123"	24	258638	9.28
	"Fairfield County, CT"	"09001"	30	925899	3.24
	"Hartford County, CT"	"09003"	51	894705	5.70
	"Middlesex County, CT"	"09007"	12	166043	Unreliable
	"New Haven County, CT"	"09009"	67	861113	7.78
	"New London County, CT"	"09011"	22	273502	8.04
	"Windham County, CT"	"09015"	10	118151	Unreliable
	"Kent County, DE"	"10001"	25	164834	15.17
	"New Castle County, DE"	"10003"	58	541971	10.70
	"Sussex County, DE"	"10005"	30	200330	14.98
	"District of Columbia, DC"	"11001"	51	617996	8.25
	"Alachua County, FL"	"12001"	14	249365	Unreliable
	"Bay County, FL"	"12005"	10	169856	Unreliable
	"Brevard County, FL"	"12009"	32	543566	5.89
	"Broward County, FL"	"12011"	129	1780172	7.25
	"Clay County, FL"	"12019"	18	192370	Unreliable
	"Collier County, FL"	"12021"	39	328134	11.89
	"Duval County, FL"	"12031"	86	870709	9.88
	"Escambia County, FL"	"12033"	28	299114	9.36
	"Flagler County, FL"	"12035"	13	97376	Unreliable
	"Hernando County, FL"	"12053"	11	173094	Unreliable
	"Hillsborough County, FL"	"12057"	202	1267775	15.93
	"Indian River County, FL"	"12061"	11	138894	Unreliable
	"Lake County, FL"	"12069"	17	301019	Unreliable
	"Lee County, FL"	"12071"	71	631330	11.25
	"Manatee County, FL"	"12081"	62	327142	18.95
	"Marion County, FL"	"12083"	16	332529	Unreliable
	"Martin County, FL"	"12085"	10	147495	Unreliable
	"Miami-Dade County, FL"	"12086"	74	2554766	2.90
	"Okaloosa County, FL"	"12091"	13	183482	Unreliable
	"Orange County, FL"	"12095"	118	1169107	10.09
	"Osceola County, FL"	"12097"	36	276163	13.04
	"Palm Beach County, FL"	"12099"	62	1335187	4.64
	"Pasco County, FL"	"12101"	56	466457	12.01
	"Pinellas County, FL"	"12103"	72	917398	7.85
	"Polk County, FL"	"12105"	21	609492	3.45
	"Putnam County, FL"	"12107"	16	74041	Unreliable
	"St. Johns County, FL"	"12109"	19	195823	Unreliable
	"St. Lucie County, FL"	"12111"	18	280379	Unreliable
	"Santa Rosa County, FL"	"12113"	18	154104	Unreliable
	"Sarasota County, FL"	"12115"	66	382213	17.27
	"Seminole County, FL"	"12117"	50	425071	11.76
	"Volusia County, FL"	"12127"	66	494804	13.34
	"Bartow County, GA"	"13015"	14	100421	Unreliable
	"Bibb County, GA"	"13021"	10	156433	Unreliable
	"Carroll County, GA"	"13045"	14	111159	Unreliable
	"Chatham County, GA"	"13051"	10	271544	Unreliable
	"Cherokee County, GA"	"13057"	14	218286	Unreliable
	"Clarke County, GA"	"13059"	10	117344	Unreliable
	"Clayton County, GA"	"13063"	16	261532	Unreliable
	"Cobb County, GA"	"13067"	15	697553	Unreliable
	"DeKalb County, GA"	"13089"	24	699893	3.43
	"Forsyth County, GA"	"13117"	16	181840	Unreliable
	"Fulton County, GA"	"13121"	57	949599	6.00
	"Gwinnett County, GA"	"13135"	25	824941	3.03
	"Hall County, GA"	"13139"	12	183052	Unreliable
	"Henry County, GA"	"13151"	14	207360	Unreliable
	"Muscogee County, GA"	"13215"	11	194107	Unreliable
	"Paulding County, GA"	"13223"	17	143542	Unreliable
	"Whitfield County, GA"	"13313"	12	103184	Unreliable
	"Hawaii County, HI"	"15001"	10	186738	Unreliable
	"Honolulu County, HI"	"15003"	55	963607	5.71
	"Maui County, HI"	"15009"	10	156674	Unreliable
	"Ada County, ID"	"16001"	27	400842	6.74
	"Twin Falls County, ID"	"16083"	12	78005	Unreliable
	"Champaign County, IL"	"17019"	14	201685	Unreliable
	"Cook County, IL"	"17031"	355	5217080	6.80
	"DuPage County, IL"	"17043"	59	923222	6.39
	"Kane County, IL"	"17089"	16	520271	Unreliable
	"Lake County, IL"	"17097"	67	706222	9.49
	"LaSalle County, IL"	"17099"	19	113518	Unreliable
	"McHenry County, IL"	"17111"	19	308944	Unreliable
	"Madison County, IL"	"17119"	43	268459	16.02
	"Peoria County, IL"	"17143"	20	186834	10.70
	"Rock Island County, IL"	"17161"	12	147556	Unreliable
	"St. Clair County, IL"	"17163"	24	270259	8.88
	"Sangamon County, IL"	"17167"	18	198844	Unreliable
	"Tazewell County, IL"	"17179"	14	135661	Unreliable
	"Will County, IL"	"17197"	54	681545	7.92
	"Winnebago County, IL"	"17201"	22	293993	7.48
	"Delaware County, IN"	"18035"	13	117660	Unreliable
	"Elkhart County, IN"	"18039"	10	198941	Unreliable
	"Hendricks County, IN"	"18063"	10	147979	Unreliable
