"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	18	208563	Unreliable
	"Cullman County, AL"	"01043"	13	82471	Unreliable
	"Jefferson County, AL"	"01073"	166	659521	25.17
	"Madison County, AL"	"01089"	16	356967	Unreliable
	"Mobile County, AL"	"01097"	21	414836	5.06
	"St. Clair County, AL"	"01115"	12	88019	Unreliable
	"Shelby County, AL"	"01117"	28	210622	13.29
	"Anchorage Borough, AK"	"02020"	40	298192	13.41
	"Kenai Peninsula Borough, AK"	"02122"	13	58506	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	18	104365	Unreliable
	"Cochise County, AZ"	"04003"	19	125770	Unreliable
	"Maricopa County, AZ"	"04013"	468	4242997	11.03
	"Mohave County, AZ"	"04015"	34	205249	16.57
	"Pima County, AZ"	"04019"	166	1016206	16.34
	"Pinal County, AZ"	"04021"	31	418540	7.41
	"Yavapai County, AZ"	"04025"	18	225562	Unreliable
	"Benton County, AR"	"05007"	23	258291	8.90
	"Garland County, AR"	"05051"	12	97477	Unreliable
	"Pulaski County, AR"	"05119"	21	393250	5.34
	"Saline County, AR"	"05125"	11	118703	Unreliable
	"Sebastian County, AR"	"05131"	10	127793	Unreliable
	"Alameda County, CA"	"06001"	50	1647704	3.03
	"Butte County, CA"	"06007"	17	226864	Unreliable
	"Contra Costa County, CA"	"06013"	53	1135127	4.67
	"Fresno County, CA"	"06019"	65	979915	6.63
	"Humboldt County, CA"	"06023"	33	136646	24.15
	"Imperial County, CA"	"06025"	11	180883	Unreliable
	"Kern County, CA"	"06029"	54	884788	6.10
	"Los Angeles County, CA"	"06037"	344	10137915	3.39
	"Madera County, CA"	"06039"	10	154697	Unreliable
	"Marin County, CA"	"06041"	15	260651	Unreliable
	"Mendocino County, CA"	"06045"	17	87628	Unreliable
	"Merced County, CA"	"06047"	23	268672	8.56
	"Monterey County, CA"	"06053"	13	435232	Unreliable
	"Orange County, CA"	"06059"	286	3172532	9.01
	"Placer County, CA"	"06061"	14	380531	Unreliable
	"Riverside County, CA"	"06065"	112	2387741	4.69
	"Sacramento County, CA"	"06067"	54	1514460	3.57
	"San Bernardino County, CA"	"06071"	35	2140096	1.64
	"San Diego County, CA"	"06073"	252	3317749	7.60
	"San Francisco County, CA"	"06075"	95	870887	10.91
	"San Joaquin County, CA"	"06077"	53	733709	7.22
	"San Luis Obispo County, CA"	"06079"	21	282887	7.42
	"San Mateo County, CA"	"06081"	21	764797	2.75
	"Santa Barbara County, CA"	"06083"	33	446170	7.40
	"Santa Clara County, CA"	"06085"	67	1919402	3.49
	"Santa Cruz County, CA"	"06087"	34	274673	12.38
	"Shasta County, CA"	"06089"	17	179631	Unreliable
	"Siskiyou County, CA"	"06093"	10	43603	Unreliable
	"Solano County, CA"	"06095"	15	440207	Unreliable
	"Sonoma County, CA"	"06097"	25	503070	4.97
	"Stanislaus County, CA"	"06099"	14	541560	Unreliable
	"Tulare County, CA"	"06107"	14	460437	Unreliable
	"Ventura County, CA"	"06111"	44	849738	5.18
	"Adams County, CO"	"08001"	58	498187	11.64
	"Arapahoe County, CO"	"08005"	65	637068	10.20
	"Boulder County, CO"	"08013"	20	322226	6.21
	"Denver County, CO"	"08031"	85	693060	12.26
	"Douglas County, CO"	"08035"	11	328632	Unreliable
	"El Paso County, CO"	"08041"	90	688284	13.08
	"Jefferson County, CO"	"08059"	52	571837	9.09
	"Larimer County, CO"	"08069"	26	339993	7.65
	"Mesa County, CO"	"08077"	17	150083	Unreliable
	"Pueblo County, CO"	"08101"	21	165123	12.72
	"Weld County, CO"	"08123"	19	294932	Unreliable
	"Fairfield County, CT"	"09001"	150	944177	15.89
	"Hartford County, CT"	"09003"	245	892389	27.45
	"Litchfield County, CT"	"09005"	37	182571	20.27
	"Middlesex County, CT"	"09007"	45	163329	27.55
	"New Haven County, CT"	"09009"	226	856875	26.37
	"New London County, CT"	"09011"	87	269801	32.25
	"Tolland County, CT"	"09013"	34	151118	22.50
	"Windham County, CT"	"09015"	31	116192	26.68
	"Kent County, DE"	"10001"	22	174827	12.58
	"New Castle County, DE"	"10003"	84	556987	15.08
	"Sussex County, DE"	"10005"	48	220251	21.79
	"District of Columbia, DC"	"11001"	209	681170	30.68
	"Alachua County, FL"	"12001"	19	263496	Unreliable
	"Bay County, FL"	"12005"	42	183974	22.83
	"Brevard County, FL"	"12009"	55	579130	9.50
	"Broward County, FL"	"12011"	264	1909632	13.82
	"Charlotte County, FL"	"12015"	15	178465	Unreliable
	"Citrus County, FL"	"12017"	20	143621	13.93
	"Clay County, FL"	"12019"	61	208311	29.28
	"Collier County, FL"	"12021"	46	365136	12.60
	"Duval County, FL"	"12031"	311	926255	33.58
	"Escambia County, FL"	"12033"	30	315187	9.52
	"Flagler County, FL"	"12035"	12	108310	Unreliable
	"Hernando County, FL"	"12053"	11	182835	Unreliable
	"Hillsborough County, FL"	"12057"	164	1376238	11.92
	"Indian River County, FL"	"12061"	11	151563	Unreliable
	"Lake County, FL"	"12069"	14	335396	Unreliable
	"Lee County, FL"	"12071"	121	722336	16.75
	"Leon County, FL"	"12073"	15	287822	Unreliable
	"Manatee County, FL"	"12081"	144	375888	38.31
	"Marion County, FL"	"12083"	42	349020	12.03
	"Martin County, FL"	"12085"	10	158701	Unreliable
	"Miami-Dade County, FL"	"12086"	245	2712945	9.03
	"Monroe County, FL"	"12087"	11	79077	Unreliable
	"Nassau County, FL"	"12089"	20	80622	24.81
	"Okaloosa County, FL"	"12091"	36	201170	17.90
	"Orange County, FL"	"12095"	166	1314367	12.63
	"Osceola County, FL"	"12097"	40	336015	11.90
	"Palm Beach County, FL"	"12099"	299	1443810	20.71
	"Pasco County, FL"	"12101"	67	512368	13.08
	"Pinellas County, FL"	"12103"	90	960730	9.37
	"Polk County, FL"	"12105"	32	666149	4.80
	"Putnam County, FL"	"12107"	10	72277	Unreliable
	"St. Johns County, FL"	"12109"	31	235087	13.19
	"St. Lucie County, FL"	"12111"	41	306507	13.38
	"Santa Rosa County, FL"	"12113"	12	170497	Unreliable
	"Sarasota County, FL"	"12115"	71	412569	17.21
	"Seminole County, FL"	"12117"	68	455479	14.93
	"Volusia County, FL"	"12127"	87	529364	16.43
	"Barrow County, GA"	"13013"	10	77126	Unreliable
	"Bartow County, GA"	"13015"	14	103807	Unreliable
	"Bibb County, GA"	"13021"	12	152760	Unreliable
	"Carroll County, GA"	"13045"	20	116261	17.20
	"Catoosa County, GA"	"13047"	11	66398	Unreliable
	"Chatham County, GA"	"13051"	27	289082	9.34
	"Cherokee County, GA"	"13057"	34	241689	14.07
	"Clarke County, GA"	"13059"	12	124707	Unreliable
	"Clayton County, GA"	"13063"	15	279462	Unreliable
	"Cobb County, GA"	"13067"	97	748150	12.97
	"Columbia County, GA"	"13073"	16	147450	Unreliable
	"Coweta County, GA"	"13077"	14	140526	Unreliable
	"DeKalb County, GA"	"13089"	49	740321	6.62
	"Douglas County, GA"	"13097"	23	142224	16.17
	"Forsyth County, GA"	"13117"	13	221009	Unreliable
	"Fulton County, GA"	"13121"	104	1023336	10.16
	"Gwinnett County, GA"	"13135"	56	907135	6.17
	"Hall County, GA"	"13139"	14	196637	Unreliable
	"Henry County, GA"	"13151"	28	221768	12.63
	"Paulding County, GA"	"13223"	25	155825	16.04
	"Richmond County, GA"	"13245"	27	201647	13.39
	"Walker County, GA"	"13295"	10	67896	Unreliable
	"Walton County, GA"	"13297"	12	90184	Unreliable
	"Hawaii County, HI"	"15001"	11	198449	Unreliable
	"Honolulu County, HI"	"15003"	49	992605	4.94
	"Maui County, HI"	"15009"	12	165386	Unreliable
	"Ada County, ID"	"16001"	30	444028	6.76
	"Bannock County, ID"	"16005"	18	84377	Unreliable
	"Kootenai County, ID"	"16055"	14	154311	Unreliable
	"Champaign County, IL"	"17019"	18	208419	Unreliable
	"Cook County, IL"	"17031"	972	5203499	18.68
	"DeKalb County, IL"	"17037"	12	104528	Unreliable
	"DuPage County, IL"	"17043"	111	929368	11.94
	"Grundy County, IL"	"17063"	12	50437	Unreliable
	"Kane County, IL"	"17089"	45	531715	8.46
	"Kankakee County, IL"	"17091"	14	110008	Unreliable
	"Kendall County, IL"	"17093"	22	124695	17.64
	"Lake County, IL"	"17097"	75	703047	10.67
	"LaSalle County, IL"	"17099"	14	110642	Unreliable
	"Livingston County, IL"	"17105"	10	36526	Unreliable
	"McHenry County, IL"	"17111"	49	307004	15.96
	"McLean County, IL"	"17113"	12	172418	Unreliable
	"Macon County, IL"	"17115"	14	106550	Unreliable
	"Madison County, IL"	"17119"	57	265759	21.45
	"Peoria County, IL"	"17143"	28	185006	15.13
	"St. Clair County, IL"	"17163"	33	262759	12.56
	"Sangamon County, IL"	"17167"	22	197499	11.14
	"Tazewell County, IL"	"17179"	21	134385	15.63
	"Vermilion County, IL"	"17183"	15	78111	Unreliable
	"Will County, IL"	"17197"	103	689529	14.94
