"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Jefferson County, AL"	"01073"	56	659479	8.49
	"Mobile County, AL"	"01097"	20	414079	4.83
	"Anchorage Borough, AK"	"02020"	34	300950	11.30
	"Cochise County, AZ"	"04003"	11	129473	Unreliable
	"Coconino County, AZ"	"04005"	10	136539	Unreliable
	"Maricopa County, AZ"	"04013"	238	4009412	5.94
	"Mohave County, AZ"	"04015"	47	203030	23.15
	"Pima County, AZ"	"04019"	155	996554	15.55
	"Pinal County, AZ"	"04021"	30	389350	7.71
	"Yavapai County, AZ"	"04025"	11	215133	Unreliable
	"Benton County, AR"	"05007"	12	237297	Unreliable
	"Craighead County, AR"	"05031"	11	101488	Unreliable
	"Garland County, AR"	"05051"	11	97173	Unreliable
	"Pulaski County, AR"	"05119"	29	391284	7.41
	"Alameda County, CA"	"06001"	44	1578891	2.79
	"Butte County, CA"	"06007"	10	222090	Unreliable
	"Contra Costa County, CA"	"06013"	43	1094205	3.93
	"Fresno County, CA"	"06019"	50	955272	5.23
	"Humboldt County, CA"	"06023"	20	134493	14.87
	"Imperial County, CA"	"06025"	11	176584	Unreliable
	"Kern County, CA"	"06029"	45	864124	5.21
	"Lake County, CA"	"06033"	19	63860	Unreliable
	"Los Angeles County, CA"	"06037"	299	10017068	2.98
	"Madera County, CA"	"06039"	12	152389	Unreliable
	"Mendocino County, CA"	"06045"	11	87192	Unreliable
	"Merced County, CA"	"06047"	17	263228	Unreliable
	"Monterey County, CA"	"06053"	27	428826	6.30
	"Orange County, CA"	"06059"	246	3114363	7.90
	"Placer County, CA"	"06061"	14	367309	Unreliable
	"Riverside County, CA"	"06065"	129	2292507	5.63
	"Sacramento County, CA"	"06067"	111	1462131	7.59
	"San Bernardino County, CA"	"06071"	57	2088371	2.73
	"San Diego County, CA"	"06073"	261	3211252	8.13
	"San Francisco County, CA"	"06075"	75	837442	8.96
	"San Joaquin County, CA"	"06077"	64	704379	9.09
	"San Luis Obispo County, CA"	"06079"	21	276443	7.60
	"San Mateo County, CA"	"06081"	20	747373	2.68
	"Santa Barbara County, CA"	"06083"	17	435697	Unreliable
	"Santa Clara County, CA"	"06085"	53	1862041	2.85
	"Santa Cruz County, CA"	"06087"	27	269419	10.02
	"Shasta County, CA"	"06089"	21	178980	11.73
	"Solano County, CA"	"06095"	12	424788	Unreliable
	"Sonoma County, CA"	"06097"	13	495025	Unreliable
	"Stanislaus County, CA"	"06099"	18	525491	Unreliable
	"Tulare County, CA"	"06107"	18	454143	Unreliable
	"Ventura County, CA"	"06111"	65	839620	7.74
	"Adams County, CO"	"08001"	54	469193	11.51
	"Arapahoe County, CO"	"08005"	22	607070	3.62
	"Boulder County, CO"	"08013"	40	310048	12.90
	"Denver County, CO"	"08031"	75	649495	11.55
	"Douglas County, CO"	"08035"	17	305963	Unreliable
	"El Paso County, CO"	"08041"	48	655044	7.33
	"Jefferson County, CO"	"08059"	50	551798	9.06
	"Larimer County, CO"	"08069"	25	315988	7.91
	"Pueblo County, CO"	"08101"	34	161451	21.06
	"Weld County, CO"	"08123"	15	269785	Unreliable
	"Fairfield County, CT"	"09001"	85	939904	9.04
	"Hartford County, CT"	"09003"	117	898272	13.03
	"Litchfield County, CT"	"09005"	28	186924	14.98
	"Middlesex County, CT"	"09007"	19	165562	Unreliable
	"New Haven County, CT"	"09009"	120	862287	13.92
	"New London County, CT"	"09011"	49	274150	17.87
	"Tolland County, CT"	"09013"	10	151377	Unreliable
	"Windham County, CT"	"09015"	11	117604	Unreliable
	"Kent County, DE"	"10001"	29	169416	17.12
	"New Castle County, DE"	"10003"	57	549684	10.37
	"Sussex County, DE"	"10005"	27	206649	13.07
	"District of Columbia, DC"	"11001"	60	646449	9.28
	"Bay County, FL"	"12005"	14	174987	Unreliable
	"Brevard County, FL"	"12009"	21	550823	3.81
	"Broward County, FL"	"12011"	104	1838844	5.66
	"Citrus County, FL"	"12017"	10	139271	Unreliable
	"Clay County, FL"	"12019"	22	196399	11.20
	"Collier County, FL"	"12021"	26	339642	7.66
	"Duval County, FL"	"12031"	87	885855	9.82
	"Escambia County, FL"	"12033"	15	305817	Unreliable
	"Hernando County, FL"	"12053"	18	174441	Unreliable
	"Hillsborough County, FL"	"12057"	112	1291578	8.67
	"Lee County, FL"	"12071"	43	661115	6.50
	"Leon County, FL"	"12073"	12	281845	Unreliable
	"Manatee County, FL"	"12081"	56	342106	16.37
	"Marion County, FL"	"12083"	14	337362	Unreliable
	"Martin County, FL"	"12085"	10	151263	Unreliable
	"Miami-Dade County, FL"	"12086"	68	2617176	2.60
	"Orange County, FL"	"12095"	92	1225267	7.51
	"Osceola County, FL"	"12097"	25	298504	8.38
	"Palm Beach County, FL"	"12099"	84	1372171	6.12
	"Pasco County, FL"	"12101"	42	475502	8.83
	"Pinellas County, FL"	"12103"	59	929048	6.35
	"Polk County, FL"	"12105"	17	623009	Unreliable
	"St. Johns County, FL"	"12109"	15	209647	Unreliable
	"St. Lucie County, FL"	"12111"	12	286832	Unreliable
	"Santa Rosa County, FL"	"12113"	10	161096	Unreliable
	"Sarasota County, FL"	"12115"	48	390429	12.29
	"Seminole County, FL"	"12117"	41	436041	9.40
	"Volusia County, FL"	"12127"	70	500800	13.98
	"Carroll County, GA"	"13045"	10	112355	Unreliable
	"Chatham County, GA"	"13051"	14	278434	Unreliable
	"Cherokee County, GA"	"13057"	18	225106	Unreliable
	"Clayton County, GA"	"13063"	11	264220	Unreliable
	"Cobb County, GA"	"13067"	17	717190	Unreliable
	"DeKalb County, GA"	"13089"	18	713340	Unreliable
	"Forsyth County, GA"	"13117"	11	195405	Unreliable
	"Fulton County, GA"	"13121"	70	984293	7.11
	"Gwinnett County, GA"	"13135"	42	859304	4.89
	"Hall County, GA"	"13139"	11	187745	Unreliable
	"Henry County, GA"	"13151"	10	211128	Unreliable
	"Paulding County, GA"	"13223"	11	146950	Unreliable
	"Walton County, GA"	"13297"	13	85754	Unreliable
	"Hawaii County, HI"	"15001"	10	190821	Unreliable
	"Honolulu County, HI"	"15003"	51	983429	5.19
	"Ada County, ID"	"16001"	37	416464	8.88
	"Champaign County, IL"	"17019"	14	204897	Unreliable
	"Cook County, IL"	"17031"	486	5240700	9.27
	"DuPage County, IL"	"17043"	60	932126	6.44
	"Kane County, IL"	"17089"	25	523643	4.77
	"Kankakee County, IL"	"17091"	15	112120	Unreliable
	"Lake County, IL"	"17097"	46	703019	6.54
	"LaSalle County, IL"	"17099"	21	112183	18.72
	"McHenry County, IL"	"17111"	20	307409	6.51
	"McLean County, IL"	"17113"	10	174647	Unreliable
	"Madison County, IL"	"17119"	36	267225	13.47
	"Peoria County, IL"	"17143"	23	188429	12.21
	"St. Clair County, IL"	"17163"	23	266955	8.62
	"Sangamon County, IL"	"17167"	14	199145	Unreliable
	"Will County, IL"	"17197"	49	682829	7.18
	"Winnebago County, IL"	"17201"	60	290666	20.64
	"Clark County, IN"	"18019"	14	112938	Unreliable
	"Delaware County, IN"	"18035"	11	117484	Unreliable
	"Hendricks County, IN"	"18063"	12	153879	Unreliable
	"Lake County, IN"	"18089"	40	491456	8.14
	"Madison County, IN"	"18095"	16	130482	Unreliable
	"Marion County, IN"	"18097"	60	928281	6.46
	"Porter County, IN"	"18127"	25	166557	15.01
	"St. Joseph County, IN"	"18141"	22	266709	8.25
	"Linn County, IA"	"19113"	16	216111	Unreliable
	"Polk County, IA"	"19153"	39	451677	8.63
	"Scott County, IA"	"19163"	34	170385	19.95
	"Johnson County, KS"	"20091"	40	566933	7.06
	"Leavenworth County, KS"	"20103"	10	78185	Unreliable
	"Sedgwick County, KS"	"20173"	26	505415	5.14
	"Bell County, KY"	"21013"	23	27885	82.48
	"Boone County, KY"	"21015"	31	124442	24.91
	"Campbell County, KY"	"21037"	21	90988	23.08
	"Daviess County, KY"	"21059"	14	98218	Unreliable
	"Fayette County, KY"	"21067"	47	308428	15.24
	"Floyd County, KY"	"21071"	17	38728	Unreliable
	"Hopkins County, KY"	"21107"	12	46634	Unreliable
	"Jefferson County, KY"	"21111"	114	756832	15.06
	"Kenton County, KY"	"21117"	46	163145	28.20
	"Madison County, KY"	"21151"	10	85590	Unreliable
	"Pike County, KY"	"21195"	13	63380	Unreliable
	"East Baton Rouge Parish, LA"	"22033"	27	445227	6.06
	"Jefferson Parish, LA"	"22051"	67	434767	15.41
	"Orleans Parish, LA"	"22071"	45	378715	11.88
	"St. Tammany Parish, LA"	"22103"	52	242333	21.46
	"Androscoggin County, ME"	"23001"	10	107604	Unreliable
	"Cumberland County, ME"	"23005"	29	285456	10.16
	"Kennebec County, ME"	"23011"	17	121164	Unreliable
	"Penobscot County, ME"	"23019"	14	153364	Unreliable
	"York County, ME"	"23031"	20	199431	10.03
	"Allegany County, MD"	"24001"	12	73521	Unreliable
	"Anne Arundel County, MD"	"24003"	78	555743	14.04
	"Baltimore County, MD"	"24005"	135	823015	16.40
	"Calvert County, MD"	"24009"	15	90484	Unreliable
	"Carroll County, MD"	"24013"	29	167564	17.31
	"Cecil County, MD"	"24015"	23	101913	22.57
	"Charles County, MD"	"24017"	14	152864	Unreliable
	"Frederick County, MD"	"24021"	32	241409	13.26
	"Harford County, MD"	"24025"	42	249215	16.85
	"Howard County, MD"	"24027"	21	304580	6.89
	"Montgomery County, MD"	"24031"	39	1016677	3.84
	"Prince George's County, MD"	"24033"	37	890081	4.16
	"St. Mary's County, MD"	"24037"	10	109633	Unreliable
	"Washington County, MD"	"24043"	31	149588	20.72
	"Wicomico County, MD"	"24045"	11	100896	Unreliable
	"Baltimore city, MD"	"24510"	178	622104	28.61
	"Barnstable County, MA"	"25001"	40	214990	18.61
	"Berkshire County, MA"	"25003"	18	129585	Unreliable
	"Bristol County, MA"	"25005"	111	552780	20.08
	"Essex County, MA"	"25009"	106	762550	13.90
