"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	14	218022	Unreliable
	"Cullman County, AL"	"01043"	11	83442	Unreliable
	"Etowah County, AL"	"01055"	15	102501	Unreliable
	"Jefferson County, AL"	"01073"	140	659300	21.23
	"Madison County, AL"	"01089"	12	366519	Unreliable
	"Mobile County, AL"	"01097"	33	413757	7.98
	"Morgan County, AL"	"01103"	15	119089	Unreliable
	"St. Clair County, AL"	"01115"	17	88690	Unreliable
	"Shelby County, AL"	"01117"	24	215707	11.13
	"Tuscaloosa County, AL"	"01125"	12	208911	Unreliable
	"Anchorage Borough, AK"	"02020"	29	291538	9.95
	"Kenai Peninsula Borough, AK"	"02122"	12	58533	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	11	107610	Unreliable
	"Cochise County, AZ"	"04003"	15	126770	Unreliable
	"Coconino County, AZ"	"04005"	25	142854	17.50
	"Maricopa County, AZ"	"04013"	776	4410824	17.59
	"Mohave County, AZ"	"04015"	24	209550	11.45
	"Pima County, AZ"	"04019"	172	1039073	16.55
	"Pinal County, AZ"	"04021"	37	447138	8.27
	"Yavapai County, AZ"	"04025"	27	231993	11.64
	"Benton County, AR"	"05007"	23	272608	8.44
	"Garland County, AR"	"05051"	12	99154	Unreliable
	"Pulaski County, AR"	"05119"	49	392680	12.48
	"Sebastian County, AR"	"05131"	10	127753	Unreliable
	"Alameda County, CA"	"06001"	56	1666753	3.36
	"Butte County, CA"	"06007"	17	231256	Unreliable
	"Contra Costa County, CA"	"06013"	85	1150215	7.39
	"Fresno County, CA"	"06019"	36	994400	3.62
	"Humboldt County, CA"	"06023"	16	136373	Unreliable
	"Imperial County, CA"	"06025"	16	181827	Unreliable
	"Kern County, CA"	"06029"	96	896764	10.71
	"Lake County, CA"	"06033"	21	64382	32.62
	"Los Angeles County, CA"	"06037"	512	10105518	5.07
	"Mendocino County, CA"	"06045"	14	87606	Unreliable
	"Merced County, CA"	"06047"	20	274765	7.28
	"Orange County, CA"	"06059"	262	3185968	8.22
	"Riverside County, CA"	"06065"	151	2450758	6.16
	"Sacramento County, CA"	"06067"	69	1540975	4.48
	"San Bernardino County, CA"	"06071"	101	2171603	4.65
	"San Diego County, CA"	"06073"	277	3343364	8.29
	"San Francisco County, CA"	"06075"	147	883305	16.64
	"San Joaquin County, CA"	"06077"	28	752660	3.72
